,hsa-miR-579,hsa-miR-605,hsa-miR-520c-3p,hsa-miR-614,hsa-miR-558,hsa-miR-96,ebv-miR-BART5,hsa-miR-519e,hsa-miR-592,hsa-miR-513a-5p,hsa-miR-1299,hsa-miR-197,hsa-miR-424,hsa-miR-1256,hsa-miR-591,hsa-miR-518c,hsa-miR-545,hsa-miR-34a,hsa-miR-1297,hsa-miR-223,hsa-miR-1975,hsa-miR-708,hsa-miR-133b,hsa-miR-513a-3p,hsa-miR-151-3p,hsa-miR-526b,hsa-miR-567,hsa-miR-1302,hsa-miR-149,hsa-miR-9
3983,19.0,0.0,89.0,23.0,277.0,1.0,74.0,176.0,49.0,17.0,186.0,55.0,127.0,87.0,6.0,4.0,113.0,132.0,146.0,2.0,3.0,315.0,102.0,464.0,538.0,41.0,467.0,410.0,9.0,30.0
4032,0.0,7.0,5.0,128.0,80.0,1.0,357.0,8.0,122.0,13.0,54.0,209.0,15.0,34.0,4.0,22.0,293.0,405.0,45.0,21.0,9.0,121.0,16.0,426.0,6.0,164.0,190.0,250.0,177.0,427.0
4081,6.0,0.0,64.0,8.0,83.0,2.0,32.0,135.0,58.0,285.0,371.0,91.0,230.0,37.0,21.0,196.0,500.0,452.0,559.0,10.0,15.0,98.0,36.0,41.0,596.0,178.0,61.0,110.0,49.0,261.0
4130,2.0,0.0,69.0,48.0,1.0,65.0,125.0,68.0,38.0,6.0,71.0,10.0,270.0,79.0,3.0,210.0,298.0,88.0,473.0,234.0,7.0,117.0,5.0,17.0,30.0,337.0,101.0,13.0,201.0,471.0
4179,0.0,5.0,3.0,10.0,117.0,75.0,82.0,11.0,33.0,29.0,130.0,153.0,47.0,26.0,36.0,44.0,185.0,57.0,322.0,9.0,19.0,143.0,139.0,12.0,283.0,270.0,16.0,98.0,102.0,39.0
4228,0.0,147.0,46.0,280.0,4.0,551.0,28.0,60.0,322.0,527.0,72.0,82.0,29.0,267.0,10.0,121.0,65.0,35.0,57.0,52.0,13.0,222.0,284.0,14.0,68.0,131.0,79.0,124.0,47.0,85.0
4277,1.0,0.0,5.0,22.0,3.0,434.0,229.0,226.0,27.0,125.0,92.0,99.0,581.0,274.0,106.0,103.0,406.0,203.0,16.0,11.0,28.0,630.0,512.0,39.0,285.0,66.0,38.0,387.0,421.0,18.0
4326,2.0,0.0,9.0,101.0,4.0,330.0,37.0,27.0,271.0,505.0,178.0,58.0,85.0,92.0,105.0,143.0,278.0,74.0,152.0,106.0,72.0,18.0,8.0,22.0,320.0,288.0,102.0,10.0,6.0,339.0
4375,1.0,0.0,39.0,11.0,29.0,497.0,103.0,4.0,2.0,102.0,575.0,49.0,331.0,516.0,266.0,487.0,296.0,433.0,35.0,3.0,7.0,80.0,77.0,323.0,94.0,106.0,6.0,332.0,9.0,198.0
4424,11.0,12.0,0.0,81.0,132.0,2.0,32.0,419.0,7.0,164.0,68.0,1.0,58.0,333.0,96.0,460.0,9.0,70.0,363.0,63.0,379.0,16.0,15.0,6.0,34.0,470.0,120.0,82.0,103.0,348.0
