,C-Raf_pS338,MIG-6,VAV1,CDK1,Beclin,YAP_pS127,Rb_pS807_S811,Src_pY416,SHP-2_pY542,TIGAR,beta-Catenin,HSP70,beta-Catenin_pT41_S45,4E-BP1_pT70,PEA15,Src,IGFBP2,Akt,Caspase-7_cleavedD198,Fibronectin,RAD51,p38_pT180_Y182,PKC-alpha,MSH6,TTF1,4E-BP1,EGFR,Annexin_VII,VHL,alpha-Catenin
3973,0.0,2.0,6.0,14.0,7.0,13.0,5.0,23.0,31.0,3.0,116.0,10.0,112.0,21.0,1.0,46.0,12.0,19.0,111.0,4.0,18.0,83.0,15.0,78.0,87.0,9.0,30.0,108.0,26.0,84.0
4022,10.0,8.0,0.0,20.0,41.0,2.0,22.0,9.0,11.0,7.0,77.0,35.0,149.0,5.0,6.0,26.0,127.0,3.0,4.0,36.0,64.0,56.0,33.0,1.0,96.0,18.0,38.0,27.0,17.0,85.0
4071,1.0,42.0,18.0,9.0,27.0,34.0,7.0,17.0,11.0,25.0,77.0,59.0,112.0,8.0,2.0,41.0,74.0,5.0,4.0,117.0,40.0,21.0,6.0,0.0,130.0,24.0,33.0,45.0,23.0,64.0
4120,32.0,37.0,0.0,19.0,56.0,3.0,130.0,39.0,111.0,8.0,38.0,15.0,45.0,31.0,4.0,102.0,83.0,1.0,40.0,9.0,135.0,2.0,106.0,17.0,118.0,5.0,10.0,21.0,6.0,79.0
4169,2.0,11.0,1.0,23.0,18.0,20.0,6.0,8.0,35.0,27.0,10.0,15.0,144.0,19.0,59.0,31.0,48.0,24.0,0.0,65.0,12.0,5.0,3.0,9.0,116.0,36.0,50.0,139.0,17.0,49.0
4218,6.0,59.0,4.0,9.0,29.0,13.0,136.0,0.0,5.0,14.0,35.0,62.0,47.0,66.0,49.0,3.0,26.0,1.0,8.0,74.0,96.0,128.0,15.0,7.0,107.0,63.0,86.0,21.0,12.0,92.0
4267,0.0,39.0,4.0,6.0,7.0,2.0,8.0,13.0,24.0,41.0,82.0,25.0,62.0,29.0,9.0,20.0,5.0,1.0,14.0,26.0,59.0,17.0,58.0,11.0,90.0,36.0,45.0,65.0,40.0,145.0
4316,10.0,48.0,2.0,82.0,3.0,1.0,18.0,12.0,5.0,0.0,73.0,20.0,94.0,27.0,11.0,21.0,70.0,8.0,43.0,87.0,54.0,19.0,32.0,17.0,51.0,67.0,65.0,128.0,69.0,146.0
4365,2.0,7.0,0.0,1.0,34.0,10.0,50.0,12.0,6.0,13.0,5.0,20.0,43.0,17.0,8.0,32.0,40.0,4.0,3.0,47.0,89.0,35.0,66.0,24.0,150.0,21.0,119.0,160.0,58.0,27.0
4414,0.0,1.0,14.0,21.0,7.0,24.0,84.0,65.0,74.0,71.0,3.0,45.0,5.0,4.0,19.0,9.0,46.0,79.0,33.0,55.0,8.0,89.0,103.0,17.0,30.0,13.0,47.0,10.0,37.0,2.0
4463,0.0,2.0,13.0,6.0,54.0,12.0,16.0,25.0,94.0,59.0,1.0,57.0,4.0,71.0,19.0,36.0,20.0,8.0,18.0,33.0,7.0,23.0,93.0,63.0,56.0,3.0,35.0,64.0,9.0,10.0
4512,0.0,1.0,7.0,3.0,17.0,82.0,60.0,10.0,12.0,43.0,4.0,14.0,2.0,41.0,31.0,26.0,98.0,73.0,25.0,36.0,48.0,35.0,86.0,30.0,16.0,15.0,57.0,94.0,29.0,34.0
4561,5.0,1.0,4.0,17.0,7.0,24.0,9.0,11.0,18.0,22.0,19.0,2.0,0.0,3.0,8.0,15.0,25.0,6.0,16.0,35.0,71.0,60.0,69.0,34.0,76.0,12.0,89.0,81.0,62.0,13.0
4610,0.0,2.0,5.0,20.0,1.0,21.0,56.0,17.0,3.0,10.0,36.0,7.0,24.0,4.0,35.0,70.0,73.0,50.0,43.0,16.0,11.0,108.0,12.0,13.0,92.0,26.0,52.0,22.0,57.0,19.0
4659,0.0,1.0,3.0,24.0,15.0,20.0,22.0,28.0,84.0,70.0,39.0,47.0,12.0,11.0,158.0,10.0,30.0,38.0,2.0,57.0,23.0,44.0,32.0,35.0,65.0,17.0,42.0,101.0,94.0,34.0
4708,0.0,1.0,16.0,18.0,51.0,4.0,118.0,5.0,30.0,23.0,9.0,39.0,20.0,7.0,8.0,15.0,137.0,31.0,44.0,36.0,49.0,6.0,2.0,35.0,64.0,3.0,92.0,48.0,11.0,46.0
4757,3.0,0.0,2.0,8.0,21.0,27.0,12.0,15.0,13.0,10.0,9.0,33.0,4.0,39.0,5.0,7.0,28.0,29.0,85.0,30.0,22.0,56.0,24.0,53.0,36.0,6.0,98.0,54.0,88.0,1.0
4806,1.0,0.0,5.0,3.0,7.0,36.0,116.0,25.0,19.0,51.0,4.0,82.0,9.0,6.0,34.0,20.0,84.0,2.0,17.0,39.0,72.0,120.0,15.0,98.0,29.0,8.0,57.0,13.0,16.0,27.0
4855,0.0,1.0,5.0,4.0,20.0,19.0,111.0,9.0,12.0,14.0,2.0,16.0,6.0,24.0,7.0,89.0,108.0,38.0,44.0,48.0,10.0,52.0,47.0,25.0,40.0,8.0,42.0,45.0,17.0,18.0
