,HLA-DRB6_AMP,HLA-DRB1_AMP,FBXL7_DEL,HLA-DRB5_AMP,ZBTB20_AMP,LGALS9C_DEL,SIRPB1_AMP,DUSP22_DEL,LOC100506776_DEL,HDHD1_DEL,HLA-DQB1_AMP,MSTO2P_AMP,DAP3_AMP,GSTT1_AMP,SORD_AMP,LOC391322_AMP,KIF26B_DEL,RBFOX1_DEL,ADCY8_DEL,SLC2A9_DEL,NSFP1_DEL,RABGAP1L_DEL,GSTTP2_AMP,ODF4_DEL,USP32P2_DEL,TAG_DEL,UNC13C_MUT,HERC2P2_AMP,BCAS1_AMP,LRRK1_MUT
1794,1.0,8.0,22.0,17.0,0.0,19.0,28.0,143.0,10.0,11.0,50.0,25.0,26.0,16.0,656.0,15.0,5.0,60.0,12.0,38.0,14.0,6.0,21.0,59.0,47.0,9.0,30.0,1459.0,33.0,48.0
1843,0.0,1.0,10.0,2.0,4.0,8.0,105.0,17.0,7.0,6.0,37.0,28.0,29.0,16.0,101.0,15.0,26.0,24.0,14.0,31.0,9.0,3.0,23.0,5.0,19.0,32.0,44.0,13.0,36.0,60.0
1892,2.0,13.0,7.0,12.0,5.0,25.0,0.0,40.0,16.0,22.0,69.0,3.0,4.0,71.0,129.0,72.0,6.0,47.0,35.0,75.0,15.0,1.0,94.0,34.0,77.0,32.0,29.0,38.0,17.0,28.0
1941,9.0,10.0,3.0,73.0,0.0,1.0,7.0,26.0,4.0,6.0,45.0,15.0,16.0,478.0,87.0,479.0,5.0,55.0,23.0,34.0,103.0,2.0,477.0,13.0,28.0,159.0,33.0,42.0,129.0,70.0
1990,0.0,4.0,7.0,2.0,1.0,3.0,9.0,19.0,152.0,11.0,143.0,5.0,6.0,12.0,23.0,13.0,18.0,20.0,10.0,38.0,31.0,8.0,15.0,16.0,14.0,34.0,123.0,198.0,49.0,32.0
2039,0.0,1.0,2.0,3.0,4.0,6.0,21.0,11.0,119.0,19.0,13.0,23.0,24.0,96.0,29.0,97.0,32.0,10.0,16.0,9.0,8.0,7.0,120.0,5.0,39.0,83.0,106.0,22075.0,88.0,189.0
2088,0.0,2.0,1.0,3.0,4.0,13.0,66.0,10.0,129.0,15.0,20.0,6.0,5.0,263.0,19.0,264.0,17.0,27.0,9.0,30.0,14.0,16.0,428.0,11.0,124.0,97.0,151.0,1349.0,81.0,29.0
2137,0.0,1.0,4.0,2.0,3.0,5.0,27.0,17.0,57.0,34.0,10.0,12.0,11.0,65.0,44.0,66.0,13.0,29.0,7.0,24.0,52.0,35.0,98.0,18.0,14.0,2171.0,687.0,1469.0,38.0,25.0
2186,0.0,3.0,1.0,4.0,5.0,2.0,41.0,19.0,35.0,17.0,67.0,10.0,9.0,77.0,26.0,78.0,39.0,14.0,7.0,13.0,65.0,11.0,108.0,45.0,8.0,135.0,51.0,63.0,259.0,34.0
2235,0.0,2.0,4.0,3.0,1.0,15.0,41.0,8.0,621.0,21.0,14.0,20.0,19.0,136.0,10.0,135.0,22.0,7.0,11.0,13.0,9.0,51.0,173.0,32.0,65.0,255.0,129.0,89.0,45.0,34.0
2284,0.0,2.0,1.0,3.0,5.0,4.0,22.0,7.0,20.0,18.0,73.0,9.0,10.0,229.0,63.0,227.0,21.0,25.0,8.0,19.0,11.0,26.0,228.0,15.0,14.0,295.0,38.0,174.0,62.0,31.0
2333,0.0,1.0,4.0,3.0,2.0,6.0,5.0,15.0,85.0,19.0,20.0,24.0,23.0,107.0,32.0,108.0,9.0,10.0,25.0,45.0,8.0,7.0,162.0,31.0,28.0,54.0,63.0,19218.0,68.0,17.0
2382,0.0,4.0,2.0,1.0,3.0,15.0,7.0,10.0,71.0,23.0,63.0,5.0,6.0,144.0,9.0,145.0,16.0,8.0,19.0,21.0,12.0,14.0,207.0,30.0,150.0,39.0,473.0,4365.0,162.0,28.0
2431,0.0,1.0,2.0,4.0,6.0,3.0,16.0,12.0,197.0,9.0,62.0,15.0,14.0,3810.0,20.0,3811.0,22.0,5.0,23.0,11.0,10.0,13.0,8221.0,41.0,25.0,241.0,171.0,14287.0,1529.0,104.0
2480,0.0,1.0,3.0,4.0,7.0,13.0,46.0,8.0,22.0,6.0,9.0,21.0,20.0,52.0,17.0,53.0,73.0,12.0,14.0,33.0,56.0,428.0,69.0,5.0,45.0,72.0,35.0,2.0,36.0,47.0
2529,2.0,1.0,0.0,5.0,13.0,4.0,42.0,19.0,62.0,9.0,6.0,36.0,35.0,24.0,8.0,23.0,58.0,14.0,84.0,7.0,49.0,43.0,28.0,3.0,16.0,185.0,40.0,18.0,716.0,100.0
2578,0.0,1.0,6.0,2.0,5.0,34.0,13.0,36.0,30.0,25.0,4.0,32.0,31.0,51.0,104.0,52.0,39.0,48.0,16.0,9.0,46.0,131.0,55.0,8.0,45.0,134.0,38.0,3.0,15.0,28.0
2627,0.0,1.0,3.0,2.0,6.0,5.0,4.0,15.0,91.0,32.0,8.0,9.0,10.0,227.0,7.0,226.0,42.0,33.0,101.0,88.0,18.0,53.0,341.0,20.0,37.0,13.0,34.0,68.0,46.0,29.0
2676,0.0,1.0,3.0,2.0,5.0,7.0,9.0,10.0,440.0,12.0,11.0,21.0,22.0,170.0,13.0,169.0,63.0,4.0,19.0,14.0,15.0,31.0,168.0,6.0,17.0,81.0,95.0,38.0,84.0,55.0
2725,0.0,4.0,7.0,5.0,74.0,8.0,9.0,58.0,193.0,35.0,17.0,51.0,52.0,98.0,1.0,97.0,85.0,32.0,24.0,12.0,182.0,68.0,124.0,13.0,19.0,226.0,18.0,2.0,39.0,20.0
