,BRAF_MUT,KRAS.G12_13_MUT,KRAS_MUT,BRAF.V600E_MUT,BRAF.MC_MUT,NRAS_MUT,PAXIP1_MUT,OR2T11_AMP,KANK1_AMP,FAM153C_AMP,MAST2_MUT,FRMPD2P1_AMP,GSTM1_DEL,TNK2_MUT,ZDHHC11_AMP,ATP13A5_MUT,OR2T10_AMP,FAM74A2_DEL,MITF_AMP,MIR548AI_DEL,RASA3_AMP,OR51A4_DEL,MIR4635_AMP,ALPK2_MUT,INHBA_MUT,PRKCE_DEL,ANKS1B_DEL,UNC13C_MUT,LOC284344_DEL,TP53_MUT
3805,0.0,3.0,2.0,1.0,4.0,96.0,29.0,25.0,13.0,116.0,27.0,8.0,360.0,40.0,608.0,164.0,255.0,133.0,283.0,20903.0,1348.0,5.0,160.0,820.0,230.0,59.0,8886.0,37.0,1945.0,1689.0
3854,0.0,2.0,1.0,3.0,6.0,37.0,17.0,22.0,9.0,30.0,400.0,4.0,327.0,7.0,71.0,131.0,3495.0,115.0,23.0,70.0,212.0,8.0,19.0,48.0,235.0,2439.0,2545.0,31.0,3686.0,21.0
3903,0.0,2.0,3.0,1.0,9.0,28.0,619.0,545.0,8.0,14.0,31.0,3498.0,76.0,10.0,52.0,35.0,78.0,16.0,21.0,3524.0,13.0,6.0,398.0,11.0,1881.0,34.0,12785.0,16546.0,130.0,194.0
3952,0.0,1.0,7.0,3.0,6.0,23.0,52.0,5.0,16.0,21742.0,49.0,265.0,98.0,1898.0,22.0,102.0,8.0,18.0,1542.0,275.0,166.0,3086.0,142.0,155.0,1938.0,11.0,19.0,289.0,45.0,237.0
4001,0.0,1.0,3.0,2.0,5.0,4.0,11.0,8.0,134.0,80.0,83.0,3529.0,3352.0,56.0,100.0,6.0,35.0,3471.0,31.0,1706.0,44.0,3511.0,287.0,3372.0,496.0,96.0,24.0,128.0,3512.0,921.0
4050,0.0,2.0,1.0,5.0,3.0,4.0,18.0,106.0,12.0,759.0,32.0,158.0,8.0,791.0,15.0,3043.0,430.0,48.0,45.0,6.0,443.0,1107.0,76.0,250.0,75.0,73.0,88.0,16557.0,225.0,102.0
4099,2.0,4.0,1.0,7.0,0.0,19.0,11.0,57.0,18.0,603.0,52.0,2376.0,3824.0,263.0,41.0,14.0,36.0,26.0,127.0,20859.0,294.0,344.0,44.0,274.0,1321.0,9.0,124.0,34.0,1462.0,20.0
4148,2.0,3.0,14.0,0.0,5.0,13.0,12.0,4.0,16.0,93.0,27.0,3449.0,1.0,80.0,7.0,151.0,8.0,329.0,121.0,87.0,72.0,2217.0,396.0,1398.0,199.0,22.0,12574.0,35.0,144.0,1928.0
4197,0.0,5.0,1.0,4.0,3.0,7.0,198.0,14.0,55.0,22080.0,373.0,593.0,3478.0,9318.0,9.0,11.0,87.0,2.0,107.0,8.0,474.0,123.0,523.0,93.0,57.0,13.0,24.0,131.0,232.0,16066.0
4246,1.0,4.0,3.0,0.0,2.0,5.0,14.0,1400.0,12.0,38.0,152.0,90.0,59.0,521.0,18.0,240.0,32.0,85.0,6.0,87.0,329.0,2734.0,263.0,2196.0,232.0,78.0,66.0,34.0,8.0,471.0
4295,0.0,1.0,2.0,6.0,3.0,5.0,16.0,4.0,67.0,46.0,9.0,212.0,76.0,40.0,495.0,51.0,83.0,48.0,2331.0,8.0,28.0,559.0,16463.0,81.0,317.0,256.0,15.0,82.0,2851.0,35.0
4344,1.0,2.0,0.0,3.0,5.0,4.0,1925.0,6.0,11.0,32.0,57.0,23554.0,420.0,120.0,7.0,72.0,16.0,10.0,39.0,421.0,551.0,559.0,280.0,66.0,14.0,19.0,196.0,141.0,17.0,553.0
4393,0.0,1.0,3.0,4.0,2.0,11.0,2248.0,8.0,2250.0,474.0,264.0,603.0,60.0,14.0,24.0,597.0,13.0,48.0,169.0,15.0,770.0,3500.0,16528.0,16781.0,2569.0,229.0,12543.0,7.0,1399.0,313.0
