,LPA_AMP,OR2T11_AMP,CDC73_AMP,ZNF705G_AMP,LOC100506776_DEL,MUC20_AMP,MSTO2P_AMP,DAP3_AMP,HLA-H_DEL,OR2T10_AMP,SIRPB1_AMP,GALNTL6_DEL,HLA-DQB1_DEL,HCG4B_DEL,MLIP_DEL,HERC2P2_AMP,CES1P1_DEL,LCE3C_DEL,PCCB_DEL,CES1_AMP,KIAA1217_DEL,TAG_DEL,SMARCA2_DEL,ARL17A_DEL,USP17L1P_AMP,MIR570_AMP,LOC348120_AMP,NBEAP1_AMP,HEATR4_AMP,FAM106CP_AMP
1108,0.0,4.0,1.0,10.0,8.0,5.0,2.0,3.0,12.0,17.0,31.0,70.0,14.0,7.0,20.0,57.0,21.0,11.0,22.0,51.0,18.0,25.0,78.0,30.0,119.0,13.0,9.0,15.0,23.0,40.0
1157,0.0,1.0,4.0,2.0,11.0,9.0,8.0,7.0,76.0,13.0,5.0,62.0,18.0,41.0,138.0,30.0,3.0,12.0,32.0,31.0,410.0,17.0,22.0,19.0,52.0,39.0,6.0,15.0,28.0,65.0
1206,0.0,9.0,8.0,2.0,10.0,17.0,6.0,7.0,15.0,38.0,28.0,5.0,14.0,13.0,36.0,3.0,1.0,29.0,23.0,20.0,32.0,11.0,24.0,44.0,22.0,62.0,120.0,21.0,35.0,26.0
1255,3.0,13.0,5.0,0.0,14.0,15.0,8.0,9.0,25.0,20.0,2.0,17.0,30.0,18.0,1.0,11.0,6.0,93.0,19.0,61.0,35.0,23.0,48.0,120.0,7.0,22.0,44.0,32.0,29.0,38.0
1304,0.0,3.0,2.0,9.0,4.0,1.0,7.0,8.0,6.0,13.0,10.0,16.0,29.0,12.0,142.0,5.0,15.0,27.0,20.0,72.0,76.0,14.0,41.0,67.0,39.0,11.0,24.0,19.0,50.0,26.0
1353,0.0,3.0,9.0,4.0,6.0,5.0,2.0,1.0,7.0,13.0,16.0,21.0,12.0,8.0,147.0,33.0,52.0,201.0,18.0,44.0,14.0,34.0,114.0,47.0,43.0,10.0,25.0,26.0,29.0,19.0
1402,0.0,6.0,1.0,3.0,21.0,2.0,5.0,4.0,8.0,12.0,10.0,32.0,23.0,14.0,9.0,24.0,28.0,29.0,20.0,33.0,213.0,620.0,99.0,22.0,35.0,7.0,18.0,17.0,39.0,79.0
1451,0.0,18.0,4.0,8.0,5.0,1.0,2.0,3.0,16.0,68.0,9.0,7.0,32.0,23.0,10.0,6.0,20.0,34.0,29.0,37.0,43.0,12.0,53.0,50.0,60.0,11.0,28.0,30.0,52.0,27.0
1500,0.0,17.0,6.0,9.0,1.0,2.0,4.0,3.0,5.0,51.0,7.0,19.0,16.0,47.0,69.0,11.0,39.0,10.0,29.0,21.0,99.0,18.0,20.0,32.0,66.0,13.0,113.0,58.0,49.0,83.0
1549,1.0,2.0,5.0,6.0,7.0,0.0,9.0,10.0,8.0,16.0,3.0,22.0,26.0,23.0,21.0,4.0,175.0,29.0,13.0,19.0,32.0,38.0,30.0,15.0,65.0,20.0,28.0,40.0,48.0,79.0
1598,12.0,4.0,0.0,27.0,6.0,28.0,2.0,3.0,5.0,23.0,7.0,17.0,8.0,30.0,42.0,33.0,11.0,1.0,13.0,10.0,31.0,16.0,37.0,24.0,97.0,233.0,68.0,95.0,174.0,1309.0
1647,4.0,3.0,6.0,5.0,8.0,10.0,2.0,1.0,9.0,7.0,0.0,12.0,13.0,43.0,15.0,33.0,47.0,14.0,75.0,21.0,22.0,11.0,31.0,16.0,44.0,17.0,76.0,52.0,19.0,34.0
1696,0.0,1.0,11.0,15.0,12.0,2.0,7.0,6.0,14.0,4.0,3.0,24.0,23.0,194.0,17.0,16.0,47.0,5.0,18.0,22.0,76.0,103.0,46.0,341.0,37.0,13.0,44.0,42.0,409.0,39.0
1745,0.0,8.0,2.0,9.0,12.0,15.0,3.0,4.0,1.0,31.0,7.0,21.0,13.0,59.0,55.0,5.0,64.0,25.0,30.0,16.0,75.0,6.0,28.0,40.0,65.0,39.0,36.0,29.0,159.0,27.0
1794,0.0,8.0,7.0,16.0,1.0,9.0,3.0,2.0,5.0,29.0,4.0,21.0,19.0,54.0,28.0,95.0,97.0,15.0,13.0,18.0,17.0,6.0,27.0,37.0,94.0,44.0,45.0,77.0,79.0,39.0
1843,0.0,1.0,2.0,16.0,3.0,8.0,6.0,5.0,9.0,10.0,7.0,23.0,12.0,30.0,39.0,15.0,163.0,4.0,25.0,26.0,38.0,14.0,29.0,19.0,66.0,33.0,54.0,35.0,31.0,43.0
1892,6.0,7.0,2.0,8.0,3.0,5.0,0.0,1.0,4.0,34.0,13.0,61.0,23.0,22.0,172.0,11.0,31.0,9.0,16.0,10.0,97.0,19.0,17.0,47.0,112.0,21.0,65.0,35.0,14.0,209.0
