,hsa-miR-1287,hsa-miR-223,hsa-miR-188-3p,hsa-miR-224,hsa-miR-96,hsa-miR-136,hsa-miR-205,hsa-miR-563,hsa-miR-200a,ebv-miR-BART12,hsa-miR-665,hsa-miR-1978,hsa-miR-320b,hsa-miR-1266,hsa-miR-195,hsa-miR-204,hsa-miR-335,hsa-miR-103,hsa-miR-548d-3p,hsa-miR-1973,hsa-miR-592,hsa-miR-508-3p,hsa-miR-27b,hsa-miR-149,hsa-miR-320c,hsa-miR-591,hsa-miR-140-5p,hsa-miR-507,hsa-miR-654-5p,hsa-miR-215
4085,3.0,8.0,2.0,0.0,7.0,74.0,1.0,16.0,29.0,38.0,45.0,111.0,35.0,49.0,136.0,6.0,15.0,54.0,174.0,40.0,53.0,18.0,23.0,117.0,5.0,157.0,13.0,42.0,124.0,43.0
4134,4.0,103.0,3.0,0.0,43.0,29.0,21.0,14.0,47.0,19.0,9.0,22.0,18.0,28.0,32.0,46.0,11.0,40.0,15.0,30.0,67.0,31.0,58.0,113.0,8.0,16.0,237.0,219.0,24.0,435.0
4183,10.0,15.0,8.0,0.0,11.0,1.0,3.0,30.0,2.0,38.0,32.0,244.0,181.0,12.0,23.0,103.0,54.0,26.0,41.0,575.0,456.0,37.0,6.0,149.0,4.0,570.0,19.0,199.0,55.0,293.0
4232,21.0,4.0,53.0,0.0,22.0,1.0,3.0,43.0,31.0,141.0,66.0,11.0,8.0,60.0,196.0,2.0,5.0,83.0,49.0,62.0,170.0,215.0,30.0,203.0,7.0,24.0,48.0,151.0,535.0,453.0
4281,8.0,14.0,45.0,0.0,13.0,23.0,1.0,217.0,2.0,19.0,5.0,3.0,33.0,200.0,214.0,74.0,38.0,36.0,81.0,21.0,6.0,20.0,27.0,135.0,4.0,451.0,290.0,277.0,55.0,54.0
4330,4.0,1.0,12.0,0.0,5.0,8.0,29.0,15.0,2.0,36.0,69.0,9.0,13.0,45.0,66.0,7.0,126.0,156.0,53.0,118.0,55.0,19.0,27.0,11.0,10.0,28.0,34.0,46.0,75.0,119.0
4379,6.0,34.0,7.0,0.0,3.0,2.0,4.0,66.0,1.0,381.0,142.0,26.0,97.0,29.0,464.0,355.0,5.0,365.0,20.0,92.0,42.0,33.0,301.0,27.0,210.0,63.0,14.0,53.0,45.0,9.0
4428,1.0,6.0,0.0,2.0,9.0,39.0,67.0,4.0,66.0,30.0,186.0,56.0,10.0,86.0,23.0,213.0,194.0,34.0,140.0,13.0,52.0,139.0,8.0,109.0,518.0,11.0,5.0,27.0,320.0,17.0
4477,6.0,66.0,81.0,16.0,0.0,45.0,65.0,1.0,38.0,25.0,73.0,15.0,3.0,27.0,2.0,176.0,21.0,14.0,77.0,34.0,10.0,67.0,19.0,95.0,18.0,78.0,155.0,60.0,33.0,79.0
4526,9.0,5.0,8.0,4.0,6.0,0.0,3.0,19.0,14.0,35.0,62.0,57.0,42.0,10.0,23.0,363.0,102.0,40.0,291.0,47.0,49.0,15.0,64.0,36.0,459.0,44.0,7.0,11.0,447.0,206.0
4575,0.0,9.0,155.0,15.0,3.0,8.0,91.0,79.0,6.0,11.0,54.0,150.0,2.0,27.0,16.0,20.0,4.0,115.0,165.0,81.0,256.0,21.0,18.0,22.0,120.0,39.0,13.0,179.0,12.0,111.0
4624,10.0,0.0,8.0,11.0,18.0,3.0,66.0,4.0,67.0,25.0,14.0,360.0,1.0,6.0,19.0,534.0,38.0,40.0,45.0,240.0,29.0,21.0,74.0,15.0,27.0,70.0,144.0,2.0,306.0,16.0
4673,3.0,10.0,4.0,0.0,17.0,11.0,13.0,8.0,25.0,26.0,15.0,35.0,21.0,167.0,2.0,245.0,258.0,5.0,73.0,81.0,74.0,16.0,45.0,337.0,22.0,47.0,410.0,215.0,71.0,6.0
4722,0.0,1.0,26.0,10.0,2.0,79.0,38.0,46.0,87.0,64.0,11.0,7.0,14.0,119.0,3.0,335.0,41.0,98.0,24.0,28.0,27.0,139.0,129.0,172.0,49.0,19.0,99.0,30.0,21.0,33.0
4771,0.0,2.0,28.0,38.0,1.0,4.0,10.0,30.0,8.0,343.0,13.0,84.0,20.0,7.0,39.0,294.0,288.0,49.0,94.0,87.0,171.0,31.0,44.0,6.0,79.0,34.0,57.0,5.0,29.0,163.0
4820,1.0,16.0,3.0,5.0,13.0,8.0,115.0,0.0,51.0,7.0,40.0,33.0,10.0,86.0,28.0,45.0,29.0,15.0,151.0,96.0,67.0,76.0,2.0,314.0,50.0,173.0,18.0,41.0,4.0,413.0
