,hsa-miR-31,hsa-miR-22,hsa-miR-574-5p,hsa-miR-199b-5p,hsa-miR-149,hsa-miR-142-5p,hsa-miR-210,hsa-miR-21,hsa-miR-130a,hsa-miR-1302,hcmv-miR-US5-1,hsa-miR-150,hsa-miR-27b,hsa-miR-96,hsa-miR-30a,hsa-miR-205,hsa-miR-592,hsa-miR-766,hsa-miR-200a,hsa-miR-151-3p,hsa-miR-147b,hsa-miR-193b,hsa-miR-219-2-3p,hsa-let-7e,hsa-miR-890,hsa-miR-363,hsa-miR-1256,hsa-let-7c,ebv-miR-BART19-5p,hsa-miR-548a-3p
3689,20.0,27.0,7.0,24.0,2.0,0.0,4.0,10.0,19.0,15.0,39.0,31.0,1.0,36.0,38.0,3.0,123.0,14.0,8.0,9.0,86.0,25.0,57.0,378.0,5.0,562.0,6.0,11.0,12.0,70.0
3738,1.0,0.0,4.0,14.0,2.0,5.0,20.0,11.0,10.0,42.0,44.0,62.0,15.0,6.0,149.0,98.0,43.0,25.0,7.0,36.0,132.0,17.0,48.0,49.0,124.0,444.0,21.0,70.0,13.0,176.0
3787,2.0,0.0,12.0,19.0,76.0,65.0,316.0,241.0,50.0,55.0,1.0,11.0,4.0,6.0,288.0,13.0,3.0,78.0,52.0,24.0,14.0,38.0,34.0,277.0,8.0,51.0,9.0,114.0,30.0,5.0
3836,22.0,2.0,1.0,43.0,6.0,16.0,5.0,18.0,10.0,8.0,3.0,0.0,20.0,181.0,25.0,215.0,53.0,70.0,14.0,84.0,31.0,52.0,157.0,93.0,37.0,38.0,21.0,314.0,259.0,27.0
3885,0.0,3.0,6.0,9.0,2.0,4.0,8.0,13.0,7.0,111.0,1.0,18.0,10.0,15.0,5.0,76.0,22.0,293.0,21.0,52.0,20.0,241.0,14.0,40.0,38.0,69.0,28.0,30.0,355.0,58.0
3934,5.0,0.0,1.0,510.0,6.0,9.0,17.0,147.0,38.0,22.0,8.0,112.0,10.0,137.0,19.0,63.0,90.0,123.0,58.0,3.0,12.0,206.0,191.0,202.0,7.0,2.0,277.0,318.0,55.0,78.0
3983,7.0,13.0,47.0,6.0,15.0,23.0,9.0,39.0,241.0,81.0,1.0,29.0,41.0,8.0,275.0,22.0,3.0,18.0,107.0,20.0,402.0,57.0,394.0,60.0,168.0,37.0,35.0,230.0,444.0,10.0
4032,1.0,0.0,27.0,182.0,45.0,12.0,22.0,319.0,16.0,46.0,60.0,144.0,15.0,17.0,103.0,40.0,84.0,6.0,436.0,18.0,224.0,14.0,167.0,170.0,292.0,3.0,130.0,190.0,118.0,24.0
4081,0.0,4.0,29.0,123.0,10.0,1.0,2.0,137.0,76.0,15.0,125.0,70.0,23.0,8.0,115.0,101.0,7.0,24.0,43.0,60.0,42.0,3.0,239.0,25.0,6.0,5.0,373.0,130.0,14.0,121.0
4130,3.0,8.0,2.0,21.0,7.0,18.0,5.0,17.0,4.0,1.0,58.0,16.0,23.0,0.0,49.0,122.0,6.0,70.0,63.0,374.0,200.0,29.0,403.0,26.0,73.0,20.0,53.0,35.0,54.0,75.0
