,hsa-miR-147b,hsa-miR-222,hsa-miR-205,hsa-miR-135b,hsa-miR-216a,hsa-miR-615-3p,hsa-miR-517b,hsa-miR-30c,hsa-miR-497,hsa-miR-662,hsa-miR-153,hsa-miR-432,hsa-miR-1259,hsa-miR-510,hsa-miR-448,hsa-miR-548a-3p,hsa-miR-450b-3p,hsa-miR-200a,hsa-miR-196b,hsa-miR-631,ebv-miR-BART18-3p,hsa-miR-219-2-3p,hsa-miR-296-5p,hsa-miR-1279,hsa-miR-1277,hsa-miR-1254,ebv-miR-BART7,kshv-miR-K12-4-3p,hsa-miR-10b,hsa-miR-520a-5p
3743,0.0,62.0,17.0,1.0,102.0,67.0,69.0,56.0,16.0,318.0,11.0,133.0,472.0,48.0,138.0,92.0,135.0,73.0,111.0,79.0,261.0,64.0,84.0,41.0,489.0,105.0,129.0,10.0,40.0,74.0
3792,118.0,12.0,105.0,389.0,40.0,44.0,28.0,33.0,562.0,1.0,57.0,514.0,100.0,45.0,512.0,111.0,162.0,0.0,171.0,165.0,11.0,6.0,573.0,168.0,74.0,54.0,110.0,32.0,87.0,39.0
3841,88.0,1.0,53.0,58.0,16.0,10.0,6.0,623.0,500.0,160.0,32.0,158.0,87.0,113.0,61.0,44.0,111.0,30.0,117.0,52.0,246.0,66.0,26.0,142.0,483.0,43.0,112.0,80.0,24.0,34.0
3890,25.0,17.0,30.0,75.0,66.0,50.0,84.0,399.0,82.0,130.0,33.0,582.0,36.0,605.0,31.0,101.0,56.0,69.0,37.0,44.0,302.0,34.0,40.0,119.0,239.0,182.0,102.0,6.0,288.0,109.0
3939,379.0,5.0,94.0,84.0,46.0,95.0,44.0,67.0,74.0,150.0,373.0,83.0,494.0,106.0,154.0,59.0,81.0,115.0,415.0,364.0,301.0,4.0,97.0,134.0,37.0,28.0,118.0,41.0,105.0,34.0
3988,379.0,5.0,27.0,108.0,18.0,0.0,549.0,37.0,80.0,35.0,373.0,15.0,494.0,11.0,517.0,66.0,138.0,16.0,13.0,38.0,22.0,53.0,76.0,81.0,481.0,146.0,58.0,64.0,458.0,87.0
4037,6.0,14.0,2.0,100.0,60.0,94.0,510.0,63.0,93.0,66.0,50.0,612.0,47.0,62.0,610.0,131.0,151.0,59.0,32.0,211.0,81.0,12.0,38.0,90.0,431.0,71.0,68.0,111.0,164.0,92.0
4086,385.0,6.0,11.0,35.0,59.0,315.0,73.0,23.0,148.0,95.0,144.0,525.0,91.0,71.0,31.0,168.0,123.0,58.0,40.0,327.0,307.0,69.0,61.0,153.0,2.0,7.0,90.0,48.0,461.0,28.0
4135,39.0,1.0,79.0,21.0,42.0,28.0,122.0,131.0,47.0,350.0,376.0,153.0,70.0,96.0,31.0,97.0,41.0,22.0,416.0,321.0,299.0,20.0,148.0,488.0,66.0,437.0,80.0,104.0,32.0,143.0
4184,4.0,25.0,10.0,80.0,56.0,75.0,30.0,41.0,9.0,313.0,94.0,81.0,467.0,77.0,521.0,52.0,37.0,96.0,101.0,31.0,22.0,6.0,581.0,488.0,67.0,104.0,70.0,48.0,99.0,78.0
4233,2.0,6.0,5.0,19.0,97.0,66.0,532.0,401.0,8.0,56.0,18.0,40.0,35.0,52.0,579.0,99.0,63.0,72.0,65.0,179.0,301.0,88.0,83.0,230.0,28.0,107.0,117.0,311.0,148.0,149.0
4282,20.0,2.0,79.0,5.0,37.0,83.0,69.0,81.0,509.0,95.0,62.0,19.0,15.0,94.0,117.0,92.0,104.0,46.0,110.0,334.0,255.0,22.0,114.0,486.0,24.0,157.0,99.0,54.0,135.0,118.0
4331,591.0,48.0,35.0,51.0,79.0,269.0,86.0,25.0,34.0,123.0,64.0,66.0,222.0,121.0,599.0,154.0,135.0,54.0,505.0,197.0,82.0,18.0,26.0,0.0,37.0,158.0,110.0,76.0,125.0,131.0
4380,0.0,5.0,38.0,14.0,49.0,254.0,23.0,33.0,71.0,40.0,151.0,100.0,557.0,70.0,620.0,118.0,50.0,87.0,6.0,135.0,134.0,3.0,438.0,574.0,45.0,105.0,78.0,19.0,126.0,124.0
4429,2.0,511.0,3.0,595.0,93.0,46.0,89.0,92.0,622.0,36.0,129.0,126.0,199.0,85.0,127.0,104.0,157.0,41.0,123.0,15.0,43.0,504.0,57.0,50.0,270.0,344.0,39.0,147.0,153.0,24.0
4478,37.0,17.0,39.0,62.0,67.0,77.0,139.0,51.0,516.0,142.0,47.0,66.0,93.0,54.0,520.0,127.0,149.0,27.0,420.0,49.0,253.0,31.0,24.0,21.0,486.0,101.0,144.0,276.0,4.0,547.0
4527,7.0,584.0,15.0,99.0,35.0,40.0,105.0,13.0,27.0,42.0,48.0,29.0,9.0,87.0,57.0,39.0,109.0,133.0,418.0,68.0,331.0,138.0,54.0,93.0,484.0,469.0,134.0,4.0,162.0,550.0
4576,31.0,591.0,12.0,9.0,50.0,25.0,53.0,90.0,59.0,45.0,79.0,142.0,60.0,67.0,149.0,32.0,151.0,70.0,425.0,52.0,283.0,595.0,22.0,483.0,58.0,470.0,42.0,138.0,116.0,551.0
4625,2.0,510.0,0.0,617.0,44.0,57.0,98.0,113.0,629.0,213.0,29.0,85.0,258.0,76.0,27.0,28.0,590.0,43.0,32.0,26.0,372.0,120.0,497.0,89.0,236.0,112.0,146.0,94.0,69.0,537.0
4674,47.0,588.0,22.0,20.0,61.0,1.0,123.0,99.0,73.0,31.0,87.0,84.0,500.0,118.0,50.0,92.0,57.0,421.0,428.0,94.0,300.0,592.0,578.0,48.0,70.0,130.0,154.0,225.0,124.0,553.0
4723,46.0,472.0,38.0,155.0,48.0,19.0,146.0,67.0,582.0,70.0,32.0,21.0,114.0,44.0,59.0,139.0,82.0,0.0,489.0,39.0,382.0,33.0,60.0,89.0,1.0,226.0,102.0,331.0,64.0,56.0
4772,2.0,55.0,7.0,36.0,74.0,22.0,533.0,399.0,629.0,192.0,508.0,9.0,217.0,104.0,56.0,91.0,574.0,53.0,459.0,37.0,134.0,489.0,139.0,105.0,75.0,247.0,127.0,46.0,126.0,524.0
