,hsa-miR-142-5p,hsa-let-7e,hsa-miR-21,hsa-miR-22,hsa-miR-193a-5p,hsa-miR-574-5p,hsa-miR-224,hsa-miR-24,hsa-miR-206,hsa-miR-30a,hsa-miR-223,hsa-miR-548m,hsa-miR-92a,hsa-miR-2115,hsa-miR-31,hsa-miR-219-2-3p,kshv-miR-K12-4-3p,hsa-miR-744,hsa-miR-10a,hsa-miR-34a,hsa-miR-545,hsa-miR-422a,hsa-miR-1269,hsa-miR-147b,hsa-miR-626,hsa-miR-675,hsa-miR-766,hsa-miR-151-3p,hsa-miR-135b,hsa-miR-155
508,1.0,0.0,2.0,4.0,5.0,12.0,11.0,38.0,3.0,10.0,9.0,7.0,25.0,96.0,45.0,29.0,293.0,13.0,292.0,6.0,32.0,18.0,14.0,129.0,28.0,8.0,134.0,54.0,178.0,67.0
557,1.0,0.0,2.0,3.0,9.0,14.0,12.0,5.0,11.0,8.0,57.0,24.0,22.0,211.0,16.0,13.0,15.0,4.0,19.0,10.0,27.0,26.0,45.0,52.0,281.0,48.0,29.0,145.0,28.0,23.0
606,0.0,1.0,3.0,10.0,4.0,2.0,17.0,6.0,38.0,13.0,12.0,46.0,20.0,228.0,92.0,29.0,9.0,19.0,49.0,16.0,27.0,14.0,11.0,8.0,39.0,5.0,30.0,18.0,75.0,63.0
655,1.0,0.0,2.0,3.0,21.0,8.0,5.0,12.0,137.0,13.0,14.0,11.0,27.0,40.0,9.0,50.0,4.0,7.0,31.0,19.0,162.0,28.0,18.0,37.0,10.0,25.0,52.0,69.0,24.0,123.0
704,1.0,0.0,3.0,2.0,5.0,7.0,33.0,44.0,28.0,14.0,4.0,15.0,37.0,16.0,13.0,30.0,6.0,21.0,35.0,25.0,48.0,9.0,12.0,26.0,134.0,10.0,41.0,17.0,24.0,286.0
753,1.0,0.0,2.0,10.0,11.0,3.0,12.0,24.0,5.0,46.0,32.0,26.0,6.0,16.0,60.0,109.0,9.0,4.0,17.0,35.0,29.0,19.0,184.0,49.0,273.0,396.0,8.0,69.0,28.0,66.0
802,0.0,1.0,2.0,4.0,3.0,6.0,10.0,17.0,8.0,15.0,12.0,28.0,27.0,30.0,25.0,13.0,52.0,7.0,41.0,9.0,53.0,5.0,19.0,16.0,23.0,135.0,29.0,24.0,31.0,62.0
851,0.0,1.0,3.0,4.0,2.0,10.0,23.0,11.0,7.0,19.0,6.0,59.0,16.0,13.0,29.0,27.0,9.0,52.0,21.0,35.0,24.0,20.0,49.0,8.0,28.0,26.0,34.0,5.0,47.0,250.0
900,0.0,1.0,2.0,8.0,14.0,3.0,19.0,6.0,26.0,17.0,4.0,15.0,90.0,12.0,44.0,18.0,10.0,7.0,20.0,5.0,51.0,24.0,41.0,30.0,25.0,16.0,68.0,21.0,47.0,31.0
949,2.0,0.0,1.0,7.0,8.0,13.0,16.0,18.0,4.0,12.0,77.0,3.0,84.0,23.0,6.0,19.0,9.0,57.0,60.0,91.0,30.0,31.0,17.0,14.0,277.0,44.0,82.0,403.0,400.0,71.0
998,0.0,1.0,7.0,2.0,3.0,14.0,19.0,10.0,5.0,6.0,27.0,13.0,4.0,8.0,151.0,16.0,9.0,21.0,50.0,70.0,68.0,208.0,18.0,465.0,20.0,40.0,25.0,37.0,51.0,116.0
1047,0.0,1.0,6.0,3.0,2.0,4.0,7.0,5.0,11.0,20.0,17.0,21.0,8.0,9.0,16.0,10.0,15.0,12.0,38.0,19.0,172.0,35.0,75.0,29.0,37.0,18.0,123.0,23.0,49.0,26.0
1096,0.0,1.0,3.0,2.0,6.0,5.0,9.0,8.0,12.0,104.0,14.0,15.0,13.0,27.0,7.0,30.0,16.0,10.0,75.0,11.0,188.0,92.0,33.0,37.0,4.0,134.0,25.0,35.0,28.0,176.0
1145,1.0,0.0,11.0,5.0,2.0,25.0,36.0,6.0,8.0,110.0,84.0,15.0,7.0,13.0,32.0,4.0,3.0,31.0,38.0,14.0,33.0,50.0,48.0,69.0,18.0,57.0,400.0,16.0,34.0,325.0
1194,0.0,1.0,5.0,4.0,3.0,6.0,36.0,17.0,14.0,101.0,30.0,7.0,2.0,37.0,11.0,8.0,55.0,19.0,51.0,40.0,22.0,102.0,32.0,41.0,21.0,29.0,18.0,12.0,98.0,23.0
1243,1.0,0.0,4.0,2.0,6.0,5.0,9.0,7.0,18.0,31.0,70.0,10.0,22.0,20.0,8.0,15.0,3.0,91.0,394.0,11.0,26.0,297.0,24.0,13.0,14.0,16.0,29.0,19.0,152.0,238.0
1292,0.0,1.0,5.0,3.0,4.0,7.0,15.0,6.0,17.0,14.0,60.0,32.0,2.0,18.0,9.0,10.0,11.0,8.0,24.0,34.0,30.0,13.0,67.0,97.0,21.0,39.0,127.0,40.0,31.0,33.0
1341,1.0,0.0,2.0,12.0,4.0,11.0,17.0,10.0,5.0,9.0,38.0,6.0,8.0,15.0,3.0,7.0,13.0,18.0,63.0,20.0,36.0,22.0,28.0,32.0,24.0,136.0,27.0,23.0,31.0,168.0
1390,0.0,1.0,5.0,2.0,4.0,3.0,9.0,12.0,16.0,8.0,17.0,7.0,6.0,120.0,13.0,23.0,86.0,22.0,15.0,57.0,64.0,14.0,116.0,28.0,20.0,106.0,433.0,66.0,11.0,39.0
