,ZBTB20_AMP,LOC340357_DEL,BRAF_MUT,SFMBT1_AMP,CFHR3_AMP,GBP3_DEL,NRAS_MUT,NSF_AMP,KIAA1217_DEL,SLC25A37_DEL,CFHR1_AMP,SIRPB1_AMP,ATM_MUT,GSTTP1_DEL,TXNRD1_DEL,EID3_DEL,OR51A2_DEL,GSTT1_AMP,LOC391322_AMP,LOC100506776_DEL,DOCK10_AMP,TTTY22_DEL,TPTE_DEL,IRF8_DEL,NRG3_DEL,KRT16P2_DEL,LRRC37A2_AMP,MYH11_MUT,NSFP1_AMP,DDT_DEL
2383,18.0,13.0,5.0,4.0,23.0,11.0,7.0,9.0,0.0,158.0,67.0,1.0,57.0,12.0,19.0,20.0,342.0,34.0,35.0,50.0,38.0,43.0,37.0,21.0,75.0,17.0,22.0,168.0,24.0,49.0
2432,1.0,8.0,2.0,30.0,16.0,31.0,29.0,7.0,71.0,3.0,10.0,0.0,109.0,48.0,12.0,13.0,50.0,61.0,62.0,89.0,74.0,35.0,38.0,33.0,4.0,22.0,24.0,475.0,32.0,21.0
2481,0.0,12.0,24.0,28.0,508.0,26.0,18.0,7.0,3.0,10.0,639.0,2.0,27.0,42.0,30.0,29.0,1.0,62.0,63.0,325.0,16.0,9.0,1426.0,13.0,201.0,215.0,39.0,20.0,44.0,776.0
2530,4.0,30.0,12.0,8.0,13.0,47.0,11.0,18.0,34.0,45.0,48.0,191.0,36.0,16.0,22.0,21.0,0.0,1.0,2.0,14.0,40.0,66.0,133.0,23.0,115.0,28.0,24.0,17.0,25.0,337.0
2579,7.0,21.0,5.0,37.0,22.0,24.0,6.0,1.0,12.0,15.0,43.0,2.0,32.0,75.0,3.0,4.0,0.0,14.0,13.0,8.0,146.0,107.0,53.0,29.0,33.0,23.0,10.0,50.0,9.0,105.0
2628,0.0,9.0,26.0,19.0,52.0,127.0,13.0,2.0,10.0,1.0,97.0,31.0,90.0,40.0,3.0,4.0,15.0,6.0,5.0,7.0,78.0,22.0,60.0,43.0,113.0,59.0,11.0,12.0,14.0,205.0
2677,0.0,9.0,18.0,39.0,24.0,11.0,1.0,3.0,14.0,28.0,35.0,20.0,6.0,108.0,5.0,4.0,2.0,8.0,7.0,12.0,31.0,68.0,168.0,26.0,27.0,10.0,13.0,45.0,16.0,98.0
2726,0.0,12.0,10.0,26.0,51.0,32.0,4.0,8.0,17.0,46.0,92.0,11.0,14.0,108.0,7.0,6.0,1.0,3.0,2.0,9.0,66.0,35.0,220.0,23.0,142.0,18.0,15.0,24.0,20.0,58.0
2775,0.0,4.0,21.0,12.0,74.0,38.0,3.0,8.0,9.0,14.0,191.0,5.0,13.0,59.0,18.0,19.0,6.0,2.0,1.0,22.0,41.0,15.0,469.0,23.0,36.0,32.0,28.0,11.0,35.0,134.0
2824,1.0,12.0,23.0,67.0,17.0,9.0,4.0,48.0,3.0,133.0,18.0,10.0,44.0,29.0,15.0,16.0,0.0,5.0,6.0,2.0,719.0,25.0,631.0,61.0,49.0,19.0,151.0,71.0,178.0,88.0
