,OR2T2_AMP,WNK1_MUT,PRB1_AMP,ESPNP_DEL,RNF103-CHMP3_DEL,OR4F21_DEL,GALNT13_DEL,OBSCN_MUT,POU5F1B_AMP,CNTNAP3B_AMP,NBPF4_DEL,OR2T35_AMP,GSTT1_AMP,EP300_MUT,UNC13C_DEL,CFHR3_AMP,CNTN5_DEL,BRAF_MUT,TP53_MUT,EYS_DEL,RPTOR_AMP,UGT2B28_DEL,LINC00221_AMP,CFHR1_AMP,IL1RAPL1_DEL,KCNIP4_AMP,DOCK10_AMP,ARHGAP22_DEL,SIGLEC14_DEL,PKHD1_MUT
4051,67.0,16536.0,45.0,25.0,93.0,154.0,22.0,77.0,35.0,22735.0,39.0,13738.0,65.0,16211.0,51.0,18029.0,56.0,46.0,55.0,98.0,84.0,80.0,14506.0,136.0,4167.0,146.0,108.0,12112.0,75.0,16515.0
4100,54.0,16533.0,52.0,1353.0,140.0,23.0,24.0,61.0,177.0,22736.0,73.0,13733.0,77.0,16208.0,2357.0,71.0,10417.0,16564.0,79.0,98.0,113.0,145.0,14506.0,174.0,4169.0,129.0,62.0,121.0,118.0,16512.0
4149,13723.0,30.0,46.0,6.0,61.0,12.0,22.0,55.0,22272.0,22733.0,3829.0,13736.0,31.0,32.0,118.0,28.0,41.0,25.0,79.0,45.0,74.0,148.0,14507.0,208.0,4164.0,84.0,11.0,63.0,76.0,16512.0
4198,16.0,70.0,79.0,44.0,100.0,78.0,4000.0,74.0,96.0,25.0,3825.0,47.0,120.0,17.0,2360.0,200.0,81.0,16570.0,58.0,112.0,84.0,109.0,14473.0,133.0,4182.0,104.0,41.0,12119.0,83.0,190.0
4247,13731.0,16536.0,21473.0,2.0,66.0,46.0,36.0,106.0,74.0,22736.0,35.0,13718.0,61.0,32.0,81.0,152.0,169.0,16.0,70.0,138.0,95.0,9374.0,64.0,177.0,44.0,59.0,21421.0,28.0,125.0,50.0
4296,36.0,24.0,65.0,44.0,20880.0,85.0,3998.0,72.0,38.0,29.0,3839.0,13724.0,116.0,61.0,2342.0,156.0,54.0,16571.0,78.0,63.0,96.0,107.0,33.0,114.0,4179.0,53.0,21426.0,50.0,125.0,16518.0
4345,29.0,16534.0,44.0,62.0,20882.0,2057.0,34.0,26.0,80.0,87.0,69.0,56.0,36.0,162.0,3.0,72.0,40.0,7.0,71.0,122.0,143.0,164.0,78.0,152.0,4175.0,134.0,33.0,12109.0,94.0,16515.0
4394,13729.0,103.0,107.0,1331.0,20881.0,37.0,3989.0,72.0,139.0,22739.0,3813.0,13716.0,147.0,16210.0,46.0,18010.0,45.0,71.0,53.0,117.0,82.0,89.0,86.0,182.0,4170.0,28.0,5.0,12113.0,92.0,16514.0
4443,13721.0,146.0,46.0,22.0,74.0,2173.0,87.0,92.0,85.0,28.0,3814.0,34.0,113.0,41.0,23.0,42.0,10421.0,16567.0,61.0,56.0,66.0,107.0,14504.0,106.0,59.0,153.0,80.0,127.0,89.0,77.0
4492,30.0,37.0,21477.0,13.0,20894.0,2184.0,87.0,96.0,150.0,54.0,3827.0,13721.0,124.0,16211.0,2344.0,94.0,76.0,69.0,84.0,49.0,104.0,56.0,14468.0,164.0,4179.0,161.0,21425.0,43.0,225.0,152.0
4541,28.0,23.0,21501.0,1369.0,27.0,104.0,31.0,16271.0,150.0,50.0,3850.0,81.0,167.0,63.0,2355.0,132.0,94.0,16561.0,75.0,48.0,47.0,60.0,14489.0,131.0,4040.0,19159.0,125.0,64.0,102.0,121.0
