,hsa-miR-30e,hsa-miR-205,hsa-miR-216a,hsa-miR-28-3p,hsa-miR-9,hsa-miR-1975,hsa-miR-486-3p,hsa-miR-329,hsa-miR-200a,hsa-miR-604,hsa-miR-1261,hsa-miR-148a,hsa-miR-302b,hsa-miR-512-3p,hsa-miR-938,hcmv-miR-UL148D,hsa-miR-503,hsa-miR-99a,hsa-miR-507,hsa-miR-1245,hsa-miR-609,hsa-miR-383,hsa-miR-558,hsa-miR-518d-3p,hsa-miR-671-3p,hsa-miR-1180,hsa-miR-520a-5p,hsa-miR-30c,hsa-miR-934,hsa-miR-631
4380,15.0,2.0,20.0,23.0,76.0,43.0,89.0,72.0,63.0,159.0,77.0,37.0,79.0,94.0,45.0,266.0,108.0,259.0,136.0,100.0,85.0,90.0,82.0,109.0,60.0,46.0,541.0,596.0,105.0,59.0
4429,3.0,0.0,18.0,67.0,36.0,394.0,64.0,132.0,388.0,51.0,475.0,27.0,44.0,542.0,123.0,182.0,552.0,45.0,8.0,429.0,135.0,46.0,126.0,77.0,50.0,43.0,528.0,83.0,84.0,342.0
4478,8.0,3.0,11.0,46.0,62.0,401.0,51.0,97.0,100.0,109.0,480.0,59.0,597.0,58.0,71.0,285.0,555.0,76.0,110.0,428.0,28.0,27.0,19.0,119.0,102.0,24.0,34.0,620.0,111.0,316.0
4527,2.0,8.0,13.0,35.0,27.0,368.0,57.0,566.0,30.0,58.0,547.0,37.0,10.0,558.0,34.0,234.0,499.0,43.0,107.0,400.0,65.0,51.0,42.0,60.0,302.0,103.0,29.0,14.0,69.0,66.0
4576,6.0,10.0,12.0,29.0,45.0,472.0,132.0,141.0,3.0,101.0,191.0,36.0,410.0,148.0,57.0,282.0,614.0,123.0,39.0,111.0,73.0,32.0,66.0,49.0,119.0,114.0,523.0,404.0,138.0,165.0
4625,27.0,2.0,13.0,44.0,51.0,404.0,56.0,72.0,398.0,95.0,482.0,63.0,73.0,556.0,57.0,17.0,547.0,100.0,551.0,102.0,121.0,15.0,41.0,108.0,69.0,97.0,533.0,564.0,107.0,308.0
4674,8.0,5.0,12.0,48.0,43.0,490.0,33.0,410.0,483.0,63.0,225.0,60.0,429.0,517.0,25.0,258.0,109.0,69.0,95.0,78.0,115.0,614.0,52.0,126.0,339.0,114.0,562.0,101.0,100.0,74.0
4723,10.0,1.0,14.0,569.0,32.0,402.0,83.0,102.0,398.0,128.0,488.0,33.0,617.0,25.0,71.0,84.0,558.0,244.0,110.0,78.0,137.0,38.0,18.0,103.0,353.0,52.0,9.0,23.0,36.0,45.0
4772,8.0,4.0,13.0,51.0,36.0,404.0,82.0,76.0,396.0,48.0,530.0,439.0,37.0,510.0,137.0,25.0,107.0,89.0,69.0,202.0,58.0,42.0,70.0,114.0,98.0,259.0,115.0,53.0,109.0,64.0
4821,12.0,6.0,9.0,76.0,46.0,404.0,500.0,136.0,140.0,123.0,490.0,69.0,578.0,118.0,29.0,335.0,558.0,79.0,94.0,434.0,174.0,11.0,44.0,98.0,106.0,126.0,43.0,19.0,91.0,103.0
