,hsa-miR-142-5p,hsa-miR-216a,hsa-miR-223,hsa-let-7e,hsa-miR-210,hsa-miR-24,hsa-miR-135b,hsa-miR-22,hsa-miR-21,hsa-miR-890,hsa-miR-130a,hsa-miR-151-3p,hsa-miR-193b,hsa-miR-574-5p,hsa-let-7a,hsa-miR-147b,hsa-miR-513a-3p,hsa-miR-92a,hsa-let-7i,hsa-miR-148a,hsa-miR-137,hsa-miR-628-5p,hsa-miR-10a,hsa-miR-193a-5p,hcmv-miR-US5-1,hsa-miR-222,hsa-miR-378,hsa-miR-422a,mcv-miR-M1-3p,hsa-miR-149
2223,0.0,3.0,1.0,4.0,2.0,6.0,10.0,281.0,51.0,7.0,19.0,17.0,5.0,9.0,12.0,8.0,26.0,78.0,32.0,45.0,66.0,49.0,40.0,27.0,37.0,29.0,163.0,50.0,84.0,11.0
2272,0.0,2.0,1.0,22.0,4.0,34.0,12.0,55.0,31.0,6.0,5.0,7.0,16.0,10.0,82.0,26.0,143.0,9.0,13.0,3.0,95.0,24.0,138.0,33.0,25.0,249.0,119.0,51.0,30.0,21.0
2321,0.0,4.0,1.0,3.0,8.0,14.0,58.0,44.0,12.0,7.0,9.0,2.0,24.0,17.0,50.0,6.0,11.0,43.0,13.0,5.0,15.0,41.0,219.0,29.0,117.0,57.0,33.0,18.0,20.0,93.0
2370,0.0,5.0,1.0,4.0,3.0,24.0,11.0,18.0,51.0,7.0,25.0,20.0,40.0,16.0,28.0,8.0,47.0,17.0,266.0,2.0,10.0,41.0,35.0,9.0,13.0,12.0,192.0,14.0,39.0,76.0
2419,0.0,5.0,2.0,1.0,6.0,8.0,19.0,31.0,25.0,9.0,4.0,3.0,13.0,10.0,44.0,12.0,23.0,36.0,11.0,48.0,7.0,37.0,16.0,26.0,56.0,186.0,61.0,99.0,27.0,22.0
2468,2.0,0.0,7.0,6.0,4.0,1.0,8.0,3.0,13.0,11.0,19.0,65.0,26.0,12.0,30.0,48.0,5.0,18.0,14.0,10.0,95.0,16.0,102.0,23.0,124.0,9.0,46.0,196.0,35.0,239.0
2517,2.0,0.0,1.0,15.0,4.0,21.0,6.0,24.0,49.0,5.0,29.0,28.0,333.0,58.0,12.0,11.0,13.0,3.0,71.0,18.0,157.0,50.0,178.0,16.0,19.0,54.0,103.0,485.0,10.0,136.0
2566,0.0,1.0,4.0,21.0,2.0,11.0,14.0,6.0,8.0,5.0,25.0,19.0,10.0,18.0,108.0,167.0,3.0,9.0,7.0,24.0,160.0,20.0,105.0,13.0,12.0,57.0,346.0,547.0,16.0,36.0
2615,1.0,0.0,2.0,6.0,8.0,4.0,7.0,3.0,45.0,15.0,11.0,16.0,70.0,25.0,10.0,58.0,39.0,18.0,17.0,32.0,47.0,150.0,46.0,5.0,90.0,9.0,38.0,138.0,42.0,36.0
2664,0.0,2.0,1.0,23.0,3.0,69.0,70.0,7.0,5.0,6.0,236.0,17.0,9.0,50.0,13.0,179.0,4.0,44.0,52.0,11.0,106.0,38.0,14.0,10.0,20.0,127.0,46.0,63.0,8.0,433.0
2713,1.0,0.0,2.0,9.0,5.0,18.0,16.0,7.0,41.0,11.0,20.0,17.0,65.0,15.0,28.0,95.0,8.0,3.0,25.0,83.0,221.0,22.0,19.0,79.0,4.0,168.0,12.0,10.0,318.0,109.0
2762,0.0,1.0,3.0,4.0,2.0,107.0,6.0,10.0,5.0,25.0,39.0,7.0,9.0,35.0,11.0,28.0,8.0,15.0,26.0,52.0,29.0,34.0,17.0,346.0,14.0,168.0,139.0,121.0,13.0,147.0
2811,0.0,1.0,2.0,20.0,11.0,74.0,9.0,4.0,25.0,16.0,66.0,17.0,24.0,353.0,194.0,8.0,3.0,5.0,6.0,27.0,18.0,7.0,57.0,19.0,14.0,35.0,34.0,62.0,30.0,39.0
2860,1.0,0.0,2.0,20.0,6.0,13.0,8.0,3.0,19.0,7.0,16.0,44.0,57.0,35.0,26.0,25.0,9.0,4.0,42.0,12.0,81.0,17.0,170.0,40.0,5.0,21.0,212.0,78.0,22.0,201.0
2909,1.0,2.0,0.0,13.0,3.0,9.0,309.0,5.0,10.0,6.0,281.0,22.0,68.0,381.0,48.0,227.0,8.0,4.0,7.0,14.0,43.0,59.0,375.0,15.0,12.0,108.0,26.0,175.0,24.0,282.0
