,MTAP_DEL,NFIB_DEL,PARG_AMP,IFNA17_DEL,PTPLAD2_DEL,CES1P1_DEL,MIR4474_DEL,SDHAP2_DEL,RLN1_DEL,DSN1_AMP,IFNA7_DEL,LOC728407_AMP,KLHL9_DEL,TPTE2P3_DEL,SACS_MUT,PRKG2_MUT,IFNA1_DEL,MCM3AP_MUT,MIR4473_DEL,PDCD1LG2_DEL,GSTT1_AMP,PCM1_MUT,IFNA10_DEL,LOC391322_AMP,IFNA21_DEL,FOCAD_DEL,VWDE_AMP,GSTTP2_AMP,FAM21A_DEL,DUSP22_DEL
3066,8.0,14.0,37.0,1.0,4.0,917.0,1459.0,39.0,66.0,22727.0,4414.0,114.0,133.0,4966.0,2718.0,382.0,3.0,17001.0,20911.0,2764.0,7.0,61.0,52.0,284.0,2.0,5.0,13835.0,196.0,622.0,113.0
3115,8.0,207.0,39.0,2920.0,34.0,1379.0,11.0,67.0,13.0,18.0,12.0,86.0,32.0,2.0,475.0,525.0,1.0,60.0,20663.0,453.0,390.0,61.0,430.0,3.0,249.0,2603.0,579.0,23708.0,387.0,817.0
3164,0.0,215.0,33.0,10.0,7.0,11226.0,458.0,42.0,2.0,100.0,4127.0,1.0,12485.0,908.0,77.0,137.0,37.0,1911.0,2574.0,7924.0,4.0,2237.0,4125.0,633.0,3922.0,60.0,149.0,25.0,2568.0,115.0
3213,4.0,64.0,3.0,74.0,9.0,16.0,107.0,8615.0,15.0,5.0,135.0,2.0,12471.0,765.0,16678.0,38.0,3645.0,43.0,20899.0,284.0,1.0,16518.0,3614.0,0.0,10.0,10641.0,13840.0,19.0,2625.0,591.0
3262,51.0,79.0,187.0,1069.0,231.0,601.0,1.0,0.0,222.0,7.0,457.0,669.0,605.0,54.0,16666.0,33.0,171.0,11.0,47.0,549.0,2.0,213.0,723.0,545.0,5.0,10564.0,13859.0,27.0,40.0,60.0
3311,2.0,119.0,36.0,49.0,13.0,233.0,77.0,8620.0,26.0,6.0,816.0,24071.0,85.0,5001.0,1035.0,31.0,27.0,240.0,0.0,7865.0,88.0,214.0,4060.0,37.0,48.0,22.0,13878.0,380.0,172.0,397.0
3360,39.0,335.0,56.0,12.0,7.0,8.0,6.0,14.0,11644.0,81.0,300.0,24079.0,808.0,4943.0,90.0,48.0,3872.0,281.0,16.0,10.0,19.0,156.0,248.0,9.0,1462.0,10621.0,206.0,77.0,2666.0,443.0
3409,965.0,10772.0,19433.0,8.0,0.0,52.0,31.0,55.0,12576.0,145.0,11.0,285.0,1814.0,4942.0,415.0,494.0,14.0,17015.0,22.0,7822.0,5.0,319.0,1126.0,24.0,26.0,185.0,6.0,642.0,2345.0,18.0
3458,11056.0,358.0,197.0,614.0,270.0,17.0,20644.0,457.0,111.0,1360.0,6.0,0.0,12461.0,2314.0,42.0,16961.0,51.0,350.0,118.0,7867.0,14.0,9.0,4358.0,31.0,71.0,2590.0,10.0,570.0,513.0,12172.0
3507,2390.0,37.0,4.0,40.0,31.0,111.0,166.0,8584.0,5.0,22870.0,0.0,12.0,64.0,696.0,137.0,153.0,9.0,38.0,56.0,10.0,50.0,209.0,19.0,11.0,124.0,10581.0,13808.0,20.0,48.0,12256.0
3556,11025.0,13.0,19447.0,4303.0,116.0,314.0,0.0,108.0,432.0,42.0,27.0,97.0,138.0,4959.0,423.0,46.0,4203.0,164.0,20898.0,125.0,1819.0,16529.0,610.0,2408.0,4306.0,10595.0,13813.0,8.0,344.0,1493.0
3605,11089.0,3.0,126.0,3579.0,7.0,1.0,20622.0,31.0,94.0,22735.0,184.0,27.0,570.0,72.0,6.0,901.0,227.0,2.0,20883.0,499.0,15.0,535.0,220.0,23.0,361.0,261.0,60.0,13.0,8.0,2416.0
3654,2029.0,9.0,19444.0,4274.0,4485.0,4.0,41.0,1002.0,561.0,5.0,11.0,0.0,12428.0,943.0,2259.0,1065.0,1008.0,3.0,20899.0,47.0,263.0,7.0,2497.0,63.0,4278.0,10654.0,13829.0,12.0,215.0,12316.0
3703,31.0,9.0,2491.0,52.0,114.0,2439.0,17.0,8585.0,314.0,110.0,278.0,790.0,4.0,4928.0,16678.0,16968.0,113.0,0.0,319.0,7832.0,1.0,1749.0,98.0,158.0,174.0,1322.0,302.0,10.0,3547.0,844.0
3752,59.0,74.0,4.0,2926.0,2429.0,692.0,1578.0,884.0,43.0,22742.0,795.0,0.0,475.0,5759.0,109.0,220.0,2841.0,5.0,121.0,7909.0,21.0,94.0,1480.0,2556.0,2921.0,482.0,2180.0,65.0,4642.0,470.0
3801,82.0,18.0,2.0,3907.0,3323.0,981.0,113.0,15.0,12618.0,673.0,95.0,296.0,133.0,121.0,933.0,1204.0,4111.0,1031.0,20871.0,7886.0,490.0,108.0,4105.0,0.0,3905.0,529.0,286.0,23631.0,1391.0,170.0
3850,13.0,5.0,177.0,14.0,35.0,400.0,20739.0,672.0,12585.0,22856.0,0.0,100.0,8.0,4849.0,187.0,16469.0,3854.0,190.0,6.0,7826.0,159.0,408.0,165.0,79.0,81.0,384.0,128.0,1.0,4129.0,12143.0
3899,3.0,0.0,19498.0,111.0,4077.0,33.0,20753.0,63.0,21.0,22808.0,8.0,23.0,813.0,14.0,1878.0,98.0,4865.0,9.0,20659.0,123.0,12.0,16448.0,52.0,26.0,353.0,53.0,45.0,32.0,1250.0,10.0
3948,2564.0,12.0,248.0,34.0,321.0,54.0,260.0,25.0,79.0,1018.0,3813.0,333.0,354.0,1.0,84.0,28.0,3.0,82.0,99.0,7834.0,66.0,16511.0,125.0,2586.0,444.0,257.0,111.0,553.0,14.0,12262.0
3997,135.0,2738.0,60.0,53.0,45.0,970.0,609.0,1.0,11669.0,35.0,3931.0,588.0,2766.0,20.0,220.0,283.0,2509.0,142.0,20915.0,343.0,13498.0,357.0,3929.0,423.0,183.0,472.0,110.0,705.0,2507.0,444.0
4046,31.0,10755.0,1217.0,34.0,64.0,44.0,641.0,2.0,54.0,315.0,3589.0,42.0,12477.0,4994.0,12.0,208.0,3582.0,1090.0,26.0,538.0,567.0,32.0,3596.0,4.0,318.0,10655.0,293.0,649.0,2525.0,12303.0
4095,3.0,161.0,2162.0,2.0,302.0,189.0,185.0,25.0,199.0,83.0,13.0,1366.0,12039.0,1867.0,27.0,4.0,0.0,2037.0,43.0,404.0,331.0,169.0,96.0,135.0,5061.0,560.0,106.0,1482.0,1379.0,11957.0
4144,304.0,201.0,9.0,23.0,4.0,104.0,20641.0,7.0,3.0,2551.0,17.0,57.0,1463.0,0.0,16676.0,16554.0,166.0,973.0,20912.0,61.0,1997.0,1087.0,84.0,136.0,66.0,6.0,2.0,23775.0,33.0,135.0
4193,20.0,160.0,12.0,5.0,115.0,21.0,219.0,8.0,76.0,190.0,0.0,10.0,353.0,2698.0,157.0,23.0,37.0,266.0,1260.0,8924.0,2600.0,335.0,1.0,194.0,138.0,27.0,13842.0,314.0,252.0,50.0
4242,74.0,49.0,6.0,21.0,419.0,160.0,20742.0,0.0,12579.0,2.0,11.0,3.0,82.0,1115.0,266.0,52.0,154.0,2587.0,368.0,13.0,1384.0,628.0,2774.0,2575.0,1588.0,19.0,13811.0,23774.0,171.0,1.0
