,1-methylnicotinamide,cytidine,C16:0 LPE,uracil,pantothenate,adenosine,2-deoxycytidine,guanosine,3-phosphoglycerate,cystathionine,uridine,butyrylcarnitine/isobutyrylcarnitine,C36:1 DAG,palmitoylcarnitine,valerylcarnitine,C22:6 CE,alpha-glycerophosphate,sarcosine,PEP,2-deoxyadenosine,alpha-glycerophosphocholine,alpha-hydroxybutyrate,C34:4 PC,pyroglutamic acid,DHAP/glyceraldehyde 3P,beta-alanine,creatine,C34:2 DAG,serotonin,creatinine
3896,0.0,4.0,7.0,23.0,1.0,2.0,9.0,11.0,37.0,46.0,15.0,14.0,31.0,3.0,21.0,56.0,22.0,55.0,33.0,6.0,16.0,59.0,18.0,25.0,10.0,52.0,13.0,51.0,12.0,27.0
3945,2.0,0.0,3.0,16.0,1.0,5.0,7.0,14.0,15.0,53.0,4.0,23.0,9.0,8.0,49.0,18.0,17.0,50.0,37.0,45.0,6.0,19.0,22.0,51.0,57.0,30.0,42.0,25.0,24.0,43.0
3994,2.0,0.0,1.0,8.0,3.0,4.0,15.0,12.0,10.0,26.0,20.0,6.0,24.0,53.0,54.0,31.0,50.0,49.0,22.0,30.0,18.0,16.0,27.0,43.0,33.0,11.0,17.0,5.0,36.0,35.0
4043,0.0,1.0,10.0,3.0,6.0,7.0,12.0,2.0,5.0,11.0,17.0,13.0,14.0,26.0,28.0,23.0,34.0,4.0,20.0,21.0,50.0,15.0,9.0,33.0,24.0,8.0,16.0,62.0,19.0,35.0
4092,0.0,1.0,3.0,24.0,10.0,11.0,30.0,2.0,4.0,14.0,9.0,21.0,19.0,38.0,13.0,15.0,46.0,6.0,25.0,20.0,16.0,18.0,22.0,34.0,32.0,45.0,44.0,12.0,52.0,8.0
4141,0.0,2.0,1.0,14.0,9.0,13.0,42.0,40.0,4.0,3.0,51.0,5.0,18.0,22.0,10.0,24.0,41.0,17.0,23.0,31.0,8.0,7.0,11.0,20.0,43.0,12.0,50.0,6.0,54.0,26.0
4190,1.0,0.0,3.0,12.0,2.0,4.0,25.0,51.0,5.0,6.0,9.0,22.0,33.0,42.0,14.0,37.0,63.0,38.0,36.0,47.0,21.0,20.0,15.0,52.0,65.0,13.0,32.0,8.0,19.0,44.0
4239,2.0,1.0,0.0,7.0,3.0,21.0,12.0,4.0,8.0,16.0,5.0,33.0,15.0,20.0,19.0,28.0,62.0,41.0,18.0,54.0,32.0,17.0,9.0,65.0,26.0,22.0,13.0,6.0,44.0,61.0
4288,2.0,0.0,3.0,43.0,9.0,14.0,8.0,31.0,17.0,1.0,19.0,7.0,12.0,22.0,26.0,5.0,35.0,6.0,23.0,29.0,56.0,18.0,20.0,63.0,10.0,38.0,32.0,4.0,36.0,46.0
4337,3.0,0.0,2.0,8.0,4.0,45.0,19.0,11.0,7.0,36.0,13.0,38.0,6.0,9.0,59.0,14.0,48.0,5.0,29.0,18.0,20.0,32.0,10.0,50.0,21.0,26.0,12.0,1.0,28.0,30.0
4386,0.0,1.0,2.0,3.0,9.0,6.0,10.0,27.0,11.0,4.0,26.0,44.0,16.0,8.0,7.0,13.0,20.0,40.0,5.0,59.0,22.0,48.0,52.0,56.0,15.0,24.0,21.0,12.0,28.0,18.0
