,PDLIM4,NDN,CTD-2231H16.1,BHLHE41,FBXL7,RP11-834C11.4,MEIS3P1,NUP210,CASC9,TWIST2,GGT6,PRKCQ-AS1,GLB1L2,UNC5B,ACOT1,RP11-12D24.6,RP11-745O10.2,BMPR1B,PCDHB17,DACH1,CP,UCHL1,VSIG2,AUTS2,SLIT3,LXN,ACOT2,GDPD5,RPL30P14,SMIM19
1822,0.0,18.0,2.0,4.0,15.0,43.0,3.0,1.0,27.0,50.0,30.0,56.0,35.0,24.0,94.0,5.0,19.0,39.0,8.0,17.0,173.0,37.0,16.0,40.0,10.0,22.0,59.0,14.0,111.0,151.0
1871,6.0,7.0,0.0,18.0,23.0,10.0,65.0,2.0,11.0,22.0,80.0,31.0,177.0,127.0,13.0,1.0,92.0,15.0,46.0,16.0,9.0,214.0,170.0,61.0,12.0,1042.0,107.0,62.0,41.0,120.0
1920,0.0,3.0,1.0,4.0,8.0,47.0,20.0,2.0,97.0,106.0,34.0,11.0,75.0,19.0,55.0,7.0,23.0,13.0,5.0,22.0,9.0,1285.0,26.0,68.0,10.0,419.0,67.0,29.0,277.0,76.0
1969,1.0,2.0,3.0,0.0,5.0,16.0,25.0,214.0,68.0,12.0,62.0,32.0,4.0,6.0,49.0,34.0,22.0,10.0,17.0,11.0,73.0,391.0,81.0,9.0,39.0,13.0,82.0,7.0,28.0,117.0
2018,5.0,0.0,4.0,2.0,7.0,22.0,212.0,49.0,10.0,6.0,19.0,27.0,48.0,1.0,35.0,187.0,117.0,9.0,8.0,17.0,40.0,803.0,59.0,13.0,15.0,64.0,121.0,3.0,23.0,34.0
2067,1.0,0.0,6.0,2.0,3.0,9.0,45.0,239.0,43.0,65.0,7.0,12.0,17.0,5.0,32.0,24.0,132.0,23.0,31.0,16.0,58.0,8782.0,49.0,34.0,70.0,10.0,97.0,13.0,68.0,60.0
2116,0.0,1.0,5.0,23.0,3.0,40.0,165.0,4.0,429.0,58.0,9.0,39.0,7.0,2.0,41.0,137.0,167.0,34.0,27.0,28.0,60.0,3012.0,17.0,25.0,8.0,18.0,879.0,128.0,13.0,393.0
2165,1.0,15.0,6.0,0.0,2.0,3.0,50.0,10.0,103.0,24.0,13.0,47.0,88.0,4.0,8.0,23.0,12.0,16.0,32.0,7.0,5.0,4549.0,51.0,11.0,21.0,18.0,220.0,25.0,34.0,87.0
2214,0.0,2.0,1.0,4.0,3.0,5.0,20.0,63.0,58.0,8.0,7.0,37.0,21.0,11.0,15.0,28.0,126.0,14.0,31.0,9.0,69.0,290.0,147.0,42.0,45.0,215.0,347.0,6.0,19.0,64.0
2263,0.0,1.0,3.0,2.0,4.0,7.0,24.0,20.0,5.0,21.0,17.0,140.0,31.0,16.0,160.0,388.0,10.0,26.0,6.0,14.0,542.0,223.0,225.0,18.0,34.0,204.0,420.0,9.0,49.0,86.0
2312,3.0,0.0,1.0,5.0,4.0,17.0,40.0,67.0,672.0,20.0,28.0,22.0,11.0,2.0,14.0,31.0,66.0,44.0,33.0,13.0,93.0,1017.0,149.0,23.0,24.0,129.0,111.0,8.0,77.0,486.0
2361,0.0,4.0,5.0,8.0,11.0,129.0,36.0,267.0,14.0,32.0,2.0,29.0,9.0,13.0,56.0,27.0,19.0,80.0,7.0,31.0,62.0,1683.0,45.0,28.0,152.0,12.0,89.0,44.0,178.0,237.0
2410,0.0,1.0,23.0,10.0,7.0,8.0,106.0,24.0,109.0,53.0,4.0,33.0,9.0,5.0,54.0,572.0,252.0,70.0,149.0,26.0,20.0,49.0,31.0,6.0,21.0,25.0,753.0,42.0,135.0,61.0
2459,0.0,1.0,6.0,2.0,5.0,4.0,46.0,14.0,34.0,90.0,18.0,72.0,3.0,55.0,95.0,51.0,58.0,25.0,21.0,7.0,86.0,10.0,127.0,9.0,64.0,24.0,88.0,27.0,380.0,89.0
2508,0.0,1.0,110.0,3.0,5.0,13.0,9.0,2.0,36.0,50.0,27.0,102.0,10.0,54.0,29.0,19.0,98.0,267.0,6.0,4.0,696.0,7.0,34.0,92.0,20.0,289.0,1052.0,96.0,3471.0,604.0
2557,0.0,1.0,4.0,6.0,5.0,22.0,3.0,8.0,16.0,19.0,18.0,85.0,12.0,102.0,123.0,55.0,139.0,17.0,26.0,25.0,15.0,23.0,10.0,62.0,269.0,7.0,364.0,73.0,333.0,38.0
2606,0.0,2.0,11.0,4.0,5.0,8.0,59.0,9.0,7.0,36.0,3.0,110.0,1.0,153.0,17.0,14.0,35.0,83.0,19.0,10.0,70.0,25.0,20.0,54.0,97.0,212.0,118.0,22.0,802.0,44.0
