,hsa-miR-216a,hsa-miR-518b,hsa-miR-615-3p,hsa-miR-934,hsa-miR-9,hsa-miR-375,hsa-miR-323-3p,hsa-miR-671-3p,hsa-miR-1246,hsa-miR-671-5p,hsa-miR-139-5p,hsa-miR-24,hsa-miR-320d,hsa-miR-889,hsa-miR-1256,hsa-miR-1539,hsa-miR-205,hsa-miR-548c-5p,hsa-miR-329,hsa-miR-554,hsa-miR-1180,hsa-miR-1278,hsa-miR-1183,hsa-miR-634,hsa-miR-345,hsa-let-7e,hsa-miR-662,hsa-miR-339-5p,hsa-miR-2110,hsa-miR-384
3150,3.0,1.0,12.0,205.0,43.0,0.0,2.0,4.0,13.0,40.0,9.0,48.0,243.0,15.0,7.0,162.0,193.0,14.0,211.0,387.0,555.0,153.0,234.0,263.0,115.0,42.0,34.0,388.0,38.0,300.0
3199,6.0,0.0,5.0,4.0,42.0,3.0,2.0,29.0,9.0,22.0,24.0,12.0,11.0,57.0,40.0,51.0,194.0,63.0,19.0,55.0,323.0,39.0,85.0,30.0,33.0,302.0,7.0,50.0,140.0,230.0
3248,0.0,5.0,1.0,60.0,8.0,4.0,7.0,48.0,21.0,9.0,2.0,6.0,77.0,11.0,46.0,12.0,187.0,35.0,150.0,121.0,226.0,73.0,82.0,207.0,79.0,191.0,3.0,18.0,42.0,38.0
3297,0.0,1.0,2.0,21.0,6.0,19.0,3.0,5.0,15.0,65.0,54.0,37.0,48.0,12.0,509.0,16.0,4.0,8.0,57.0,64.0,337.0,504.0,107.0,23.0,60.0,29.0,18.0,38.0,126.0,30.0
3346,0.0,33.0,3.0,70.0,13.0,2.0,1.0,11.0,30.0,8.0,27.0,103.0,49.0,65.0,22.0,7.0,28.0,5.0,4.0,104.0,37.0,31.0,35.0,234.0,12.0,233.0,21.0,133.0,36.0,23.0
3395,0.0,4.0,1.0,384.0,10.0,3.0,7.0,46.0,2.0,19.0,47.0,65.0,42.0,436.0,60.0,122.0,5.0,18.0,202.0,499.0,44.0,197.0,8.0,20.0,39.0,87.0,23.0,117.0,106.0,133.0
3444,0.0,31.0,2.0,7.0,4.0,11.0,1.0,152.0,119.0,72.0,3.0,240.0,47.0,24.0,27.0,8.0,468.0,113.0,242.0,6.0,16.0,248.0,19.0,123.0,213.0,15.0,18.0,84.0,191.0,150.0
3493,0.0,21.0,6.0,124.0,26.0,4.0,3.0,206.0,61.0,18.0,29.0,16.0,257.0,35.0,37.0,2.0,330.0,76.0,74.0,43.0,23.0,48.0,47.0,91.0,34.0,125.0,615.0,19.0,212.0,409.0
3542,0.0,1.0,4.0,115.0,54.0,13.0,9.0,191.0,58.0,24.0,15.0,208.0,53.0,256.0,94.0,12.0,57.0,435.0,11.0,446.0,21.0,229.0,14.0,142.0,170.0,8.0,91.0,93.0,158.0,302.0
3591,9.0,18.0,1.0,4.0,8.0,2.0,7.0,10.0,20.0,187.0,0.0,147.0,88.0,121.0,34.0,21.0,93.0,525.0,265.0,212.0,65.0,73.0,31.0,64.0,498.0,23.0,126.0,11.0,3.0,252.0
3640,0.0,8.0,3.0,94.0,11.0,7.0,60.0,9.0,29.0,14.0,1.0,205.0,529.0,84.0,102.0,111.0,615.0,22.0,56.0,105.0,13.0,35.0,64.0,107.0,147.0,108.0,19.0,75.0,106.0,38.0
3689,0.0,19.0,2.0,3.0,21.0,31.0,9.0,16.0,69.0,4.0,5.0,61.0,165.0,111.0,55.0,242.0,41.0,20.0,446.0,46.0,10.0,423.0,219.0,297.0,188.0,24.0,15.0,38.0,217.0,322.0
3738,0.0,259.0,275.0,66.0,55.0,24.0,4.0,7.0,47.0,20.0,15.0,6.0,38.0,31.0,267.0,473.0,75.0,116.0,137.0,94.0,23.0,65.0,328.0,210.0,293.0,543.0,54.0,127.0,5.0,39.0
3787,1.0,178.0,0.0,8.0,82.0,30.0,3.0,53.0,68.0,113.0,36.0,38.0,4.0,357.0,167.0,72.0,37.0,58.0,398.0,14.0,11.0,56.0,49.0,279.0,18.0,16.0,6.0,302.0,151.0,342.0
3836,6.0,11.0,1.0,76.0,21.0,2.0,26.0,184.0,41.0,3.0,10.0,14.0,4.0,39.0,514.0,48.0,83.0,64.0,152.0,203.0,17.0,75.0,169.0,94.0,49.0,29.0,382.0,319.0,472.0,54.0
3885,1.0,116.0,2.0,464.0,42.0,13.0,7.0,130.0,29.0,166.0,6.0,5.0,172.0,111.0,34.0,154.0,25.0,595.0,57.0,66.0,403.0,487.0,0.0,12.0,310.0,358.0,90.0,422.0,15.0,163.0
3934,19.0,5.0,57.0,40.0,56.0,3.0,39.0,0.0,465.0,191.0,70.0,20.0,224.0,46.0,197.0,31.0,25.0,532.0,44.0,412.0,104.0,356.0,92.0,298.0,54.0,310.0,316.0,163.0,528.0,49.0
3983,23.0,2.0,1.0,22.0,63.0,0.0,137.0,25.0,10.0,85.0,232.0,139.0,54.0,49.0,183.0,212.0,12.0,81.0,110.0,4.0,144.0,67.0,28.0,269.0,38.0,9.0,267.0,138.0,376.0,50.0
4032,20.0,0.0,27.0,17.0,34.0,39.0,176.0,24.0,125.0,83.0,65.0,105.0,57.0,9.0,505.0,428.0,183.0,165.0,318.0,15.0,259.0,445.0,292.0,13.0,19.0,67.0,4.0,66.0,68.0,202.0
4081,6.0,1.0,3.0,267.0,47.0,14.0,111.0,16.0,140.0,207.0,145.0,8.0,103.0,36.0,23.0,609.0,170.0,69.0,17.0,0.0,119.0,253.0,25.0,58.0,116.0,199.0,5.0,171.0,246.0,531.0
4130,49.0,618.0,3.0,27.0,5.0,13.0,182.0,6.0,22.0,283.0,229.0,308.0,252.0,195.0,93.0,621.0,253.0,150.0,52.0,1.0,206.0,34.0,2.0,18.0,450.0,191.0,188.0,124.0,122.0,151.0
4179,0.0,1.0,8.0,47.0,3.0,41.0,17.0,2.0,20.0,49.0,338.0,419.0,282.0,44.0,35.0,23.0,36.0,125.0,18.0,4.0,26.0,322.0,28.0,16.0,368.0,289.0,61.0,66.0,244.0,69.0
4228,586.0,0.0,55.0,7.0,138.0,5.0,276.0,21.0,87.0,23.0,161.0,137.0,96.0,2.0,54.0,167.0,93.0,175.0,222.0,3.0,127.0,246.0,118.0,97.0,152.0,192.0,117.0,430.0,77.0,261.0
4277,2.0,0.0,75.0,77.0,26.0,4.0,91.0,30.0,71.0,49.0,16.0,14.0,35.0,346.0,266.0,96.0,44.0,121.0,90.0,23.0,323.0,223.0,187.0,97.0,88.0,569.0,32.0,24.0,15.0,57.0
