,beta-alanine,C56:5 TAG,GABA,C34:4 PC,alpha-glycerophosphate,C22:6 LPE,C36:4 PC-B,2-deoxycytidine,pantothenate,niacinamide,leucine,butyrylcarnitine/isobutyrylcarnitine,1-methylnicotinamide,putrescine,valerylcarnitine,palmitoylcarnitine,DHAP/glyceraldehyde 3P,adenosine,C18:0 LPC,C56:3 TAG,C16:0 LPE,cotinine,inosine,C34:2 DAG,isocitrate,malondialdehyde,cystathionine,uridine,alpha-hydroxybutyrate,PEP
2226,0.0,1.0,2.0,3.0,4.0,8.0,40.0,11.0,25.0,6.0,5.0,20.0,19.0,24.0,22.0,49.0,7.0,14.0,15.0,9.0,16.0,27.0,18.0,43.0,10.0,41.0,13.0,12.0,29.0,23.0
2275,1.0,0.0,2.0,3.0,4.0,5.0,13.0,6.0,17.0,9.0,11.0,8.0,31.0,20.0,52.0,7.0,19.0,38.0,10.0,14.0,29.0,23.0,18.0,33.0,15.0,43.0,24.0,12.0,26.0,47.0
2324,5.0,0.0,2.0,4.0,6.0,3.0,43.0,9.0,16.0,21.0,25.0,7.0,17.0,1.0,34.0,13.0,35.0,32.0,33.0,12.0,26.0,36.0,19.0,31.0,8.0,48.0,10.0,18.0,15.0,24.0
2373,8.0,1.0,3.0,0.0,2.0,18.0,11.0,5.0,15.0,7.0,25.0,6.0,23.0,57.0,20.0,31.0,44.0,50.0,28.0,22.0,39.0,16.0,13.0,14.0,35.0,58.0,4.0,30.0,43.0,19.0
2422,0.0,1.0,2.0,3.0,6.0,5.0,17.0,10.0,20.0,39.0,4.0,11.0,8.0,50.0,47.0,40.0,27.0,18.0,28.0,59.0,9.0,36.0,7.0,42.0,15.0,31.0,19.0,16.0,21.0,22.0
2471,1.0,2.0,0.0,41.0,3.0,10.0,25.0,16.0,15.0,48.0,57.0,7.0,36.0,5.0,23.0,9.0,28.0,37.0,32.0,33.0,20.0,21.0,11.0,63.0,29.0,4.0,12.0,27.0,14.0,17.0
2520,0.0,1.0,2.0,18.0,4.0,8.0,5.0,19.0,15.0,14.0,17.0,25.0,9.0,6.0,38.0,32.0,21.0,33.0,12.0,36.0,28.0,7.0,16.0,49.0,3.0,27.0,11.0,54.0,34.0,42.0
2569,1.0,4.0,0.0,3.0,2.0,12.0,8.0,26.0,9.0,35.0,42.0,18.0,7.0,19.0,39.0,33.0,5.0,32.0,27.0,23.0,20.0,6.0,24.0,16.0,36.0,13.0,14.0,31.0,65.0,15.0
2618,1.0,4.0,2.0,0.0,10.0,3.0,5.0,18.0,19.0,14.0,23.0,7.0,12.0,9.0,43.0,15.0,62.0,20.0,52.0,53.0,35.0,21.0,25.0,38.0,26.0,56.0,33.0,51.0,6.0,17.0
2667,0.0,1.0,2.0,10.0,3.0,4.0,6.0,32.0,54.0,22.0,25.0,21.0,15.0,40.0,7.0,5.0,43.0,52.0,48.0,12.0,24.0,30.0,9.0,28.0,18.0,38.0,16.0,56.0,14.0,37.0
