,BRAF_MUT,BRAF.V600E_MUT,TTN_MUT,KRAS.G12_13_MUT,BRAF.MC_MUT,KRAS_MUT,GOLGA8A_DEL,OR2A7_AMP,LOC728377_AMP,SIRPB1_AMP,FAM21A_DEL,HLA-DQB1_DEL,UNC13C_MUT,CFHR3_AMP,SORD_AMP,NRAS_MUT,ARHGEF5_AMP,FAM35B_DEL,KIAA1217_DEL,MIR1233-2_DEL,MIR1233-1_DEL,UBE2Q2P3_AMP,UBE2Q2P2_AMP,FFAR3_DEL,USP17L4_AMP,ATG10_DEL,RPS17L_AMP,DOCK10_AMP,GOLGA6L9_AMP,RPS17_AMP
4342,0.0,4.0,11.0,3.0,63.0,2.0,7.0,5.0,6.0,21.0,1.0,177.0,47.0,29.0,23.0,31.0,13.0,40.0,128.0,15.0,16.0,27.0,26.0,12.0,18.0,101.0,35.0,73.0,34.0,36.0
4391,0.0,1.0,3.0,7.0,5.0,11.0,18.0,12.0,13.0,147.0,4.0,20.0,45.0,10.0,2.0,14.0,131.0,8.0,31.0,167.0,166.0,175.0,174.0,9.0,23.0,30.0,197.0,100.0,196.0,198.0
4440,0.0,1.0,9.0,3.0,5.0,6.0,2.0,18.0,17.0,33.0,16.0,318.0,26.0,12.0,66.0,38.0,158.0,7.0,4.0,11.0,10.0,47.0,46.0,8.0,21.0,32.0,53.0,29.0,54.0,52.0
4489,0.0,1.0,3.0,2.0,5.0,4.0,11.0,7.0,8.0,1099.0,12.0,100.0,10.0,74.0,103.0,20.0,23.0,60.0,6.0,64.0,63.0,25.0,24.0,70.0,54.0,21.0,29.0,42.0,28.0,27.0
4538,0.0,2.0,9.0,1.0,19.0,3.0,4.0,11.0,10.0,79.0,53.0,14.0,5.0,345.0,368.0,62.0,55.0,93.0,30.0,8.0,7.0,32.0,31.0,6.0,47.0,71.0,34.0,11079.0,36.0,35.0
4587,0.0,1.0,7.0,5.0,6.0,9.0,2.0,16.0,17.0,4.0,214.0,67.0,3.0,280.0,535.0,48.0,10.0,37.0,80.0,13.0,12.0,28.0,27.0,23.0,24.0,42.0,31.0,1390.0,29.0,30.0
4636,0.0,1.0,5.0,2.0,7.0,6.0,4.0,53.0,52.0,71.0,8.0,49.0,13.0,68.0,106.0,45.0,123.0,40.0,11.0,10.0,9.0,54.0,55.0,14.0,34.0,15.0,61.0,24.0,62.0,60.0
4685,0.0,1.0,17.0,2.0,5.0,4.0,18.0,25.0,24.0,222.0,9.0,43.0,6.0,99.0,21.0,130.0,65.0,7.0,3.0,83.0,84.0,12.0,13.0,8.0,20.0,28.0,15.0,178.0,16.0,14.0
4734,0.0,1.0,6.0,12.0,4.0,14.0,13.0,2.0,3.0,101.0,8.0,85.0,7.0,135.0,165.0,18.0,37.0,35.0,15.0,56.0,55.0,24.0,25.0,5.0,11.0,17.0,28.0,194.0,29.0,27.0
4783,0.0,1.0,11.0,10.0,6.0,5.0,4.0,13.0,12.0,3.0,24.0,20.0,22.0,9.0,65.0,553.0,77.0,91.0,58.0,18.0,19.0,36.0,37.0,178.0,14.0,53.0,38.0,76.0,39.0,40.0
4832,0.0,1.0,6.0,2.0,7.0,3.0,4.0,18.0,19.0,64.0,108.0,15.0,11.0,10.0,73.0,49.0,39.0,36.0,17.0,8.0,9.0,69.0,70.0,5.0,13.0,168.0,75.0,65.0,77.0,76.0
4881,0.0,1.0,48.0,7.0,12.0,11.0,6.0,5.0,4.0,47.0,3.0,125.0,53.0,244.0,89.0,18.0,30.0,13.0,2.0,15.0,14.0,21.0,20.0,8.0,19.0,27.0,23.0,76.0,24.0,22.0
