,XBP1,4E-BP1,AMPK_pT172,BRCA2,RSK1-2-3,Bax,HER2_pY1248,Transglutaminase,STAT5-alpha,IRS1,VEGFR2,Rictor_pT1135,Acetyl-a-Tubulin (Lys40),Chk1_pS345,Bcl-xL,PRDX1,Akt_pS473,MAPK_pT202_Y204,Bcl-2,CD49b,Claudin-7,Chk2,SHP-2_pY542,Collagen_VI,HER3,beta-Catenin_pT41_S45,Porin,YAP_pS127,Tuberin_pT1462,B-Raf
4415,10.0,40.0,19.0,17.0,29.0,6.0,84.0,133.0,9.0,93.0,7.0,72.0,27.0,45.0,164.0,20.0,99.0,22.0,23.0,146.0,141.0,95.0,66.0,24.0,134.0,53.0,113.0,58.0,111.0,86.0
4464,15.0,13.0,17.0,5.0,26.0,44.0,33.0,25.0,92.0,50.0,14.0,75.0,55.0,71.0,4.0,19.0,88.0,89.0,114.0,20.0,62.0,97.0,39.0,45.0,103.0,100.0,82.0,80.0,21.0,49.0
4513,6.0,24.0,20.0,1.0,8.0,82.0,65.0,35.0,66.0,38.0,94.0,60.0,80.0,101.0,102.0,33.0,61.0,14.0,22.0,5.0,107.0,137.0,77.0,136.0,44.0,57.0,112.0,72.0,26.0,103.0
4562,10.0,14.0,26.0,97.0,11.0,33.0,72.0,87.0,4.0,85.0,42.0,43.0,17.0,55.0,12.0,41.0,93.0,46.0,117.0,157.0,116.0,154.0,40.0,19.0,125.0,25.0,121.0,140.0,100.0,16.0
4611,5.0,20.0,8.0,134.0,38.0,36.0,160.0,67.0,33.0,53.0,11.0,52.0,23.0,63.0,136.0,60.0,40.0,57.0,32.0,12.0,13.0,92.0,42.0,17.0,50.0,22.0,14.0,49.0,90.0,68.0
4660,14.0,18.0,1.0,133.0,33.0,23.0,13.0,37.0,49.0,48.0,3.0,56.0,6.0,29.0,5.0,57.0,63.0,0.0,32.0,130.0,128.0,84.0,17.0,83.0,161.0,62.0,90.0,114.0,73.0,15.0
4709,10.0,22.0,14.0,26.0,18.0,77.0,29.0,78.0,7.0,43.0,25.0,58.0,34.0,30.0,63.0,16.0,37.0,5.0,46.0,128.0,72.0,144.0,60.0,79.0,20.0,57.0,65.0,118.0,123.0,135.0
4758,7.0,51.0,19.0,2.0,54.0,133.0,46.0,71.0,23.0,43.0,17.0,57.0,20.0,96.0,130.0,31.0,58.0,0.0,48.0,56.0,40.0,136.0,60.0,6.0,36.0,61.0,29.0,33.0,14.0,38.0
4807,14.0,8.0,11.0,83.0,36.0,32.0,39.0,28.0,77.0,20.0,2.0,35.0,19.0,9.0,110.0,17.0,65.0,66.0,64.0,132.0,29.0,131.0,70.0,23.0,159.0,104.0,78.0,119.0,118.0,67.0
4856,9.0,26.0,11.0,105.0,17.0,46.0,22.0,69.0,27.0,52.0,100.0,47.0,42.0,50.0,31.0,44.0,51.0,14.0,74.0,127.0,59.0,43.0,58.0,19.0,82.0,37.0,99.0,39.0,5.0,79.0
