,XBP1,4E-BP1,AMPK_pT172,Rictor_pT1135,IRS1,VAV1,Akt_pS473,alpha-Catenin,RSK1-2-3,YAP_pS127,STAT5-alpha,A-Raf_pS299,Transglutaminase,Claudin-7,Syk,PAI-1,VEGFR2,Bcl-2,PRDX1,Bax,C-Raf(BD610151),Porin,CD49b,C-Raf_pS338,FRA1,Acetyl-a-Tubulin (Lys40),Collagen_VI,Stathmin,4E-BP1_pT37_T46,E-Cadherin
3483,0.0,1.0,7.0,14.0,8.0,3.0,15.0,9.0,4.0,131.0,2.0,43.0,89.0,13.0,64.0,59.0,28.0,32.0,18.0,10.0,20.0,23.0,123.0,107.0,45.0,25.0,24.0,57.0,33.0,50.0
3532,0.0,4.0,1.0,30.0,6.0,7.0,20.0,40.0,5.0,21.0,3.0,12.0,53.0,41.0,55.0,31.0,59.0,10.0,61.0,13.0,27.0,73.0,67.0,33.0,72.0,66.0,11.0,15.0,42.0,87.0
3581,10.0,0.0,7.0,4.0,2.0,3.0,56.0,51.0,1.0,27.0,14.0,5.0,9.0,19.0,73.0,6.0,20.0,13.0,18.0,15.0,21.0,55.0,11.0,24.0,8.0,36.0,74.0,25.0,101.0,151.0
3630,1.0,0.0,6.0,11.0,3.0,7.0,13.0,9.0,5.0,26.0,2.0,21.0,33.0,67.0,39.0,83.0,35.0,23.0,75.0,14.0,8.0,84.0,25.0,24.0,17.0,4.0,103.0,36.0,27.0,48.0
3679,1.0,0.0,3.0,5.0,88.0,18.0,16.0,13.0,28.0,12.0,9.0,14.0,36.0,11.0,7.0,72.0,37.0,6.0,15.0,77.0,2.0,47.0,62.0,100.0,19.0,25.0,48.0,27.0,83.0,118.0
3728,0.0,2.0,4.0,1.0,7.0,11.0,6.0,71.0,5.0,47.0,13.0,20.0,90.0,27.0,86.0,3.0,66.0,17.0,32.0,50.0,76.0,34.0,28.0,25.0,35.0,8.0,88.0,31.0,130.0,51.0
3777,1.0,0.0,6.0,8.0,25.0,35.0,5.0,16.0,2.0,62.0,4.0,9.0,17.0,80.0,49.0,21.0,82.0,65.0,7.0,44.0,11.0,76.0,26.0,91.0,47.0,42.0,38.0,58.0,57.0,41.0
3826,0.0,3.0,18.0,13.0,2.0,23.0,8.0,117.0,4.0,10.0,7.0,60.0,9.0,16.0,24.0,5.0,26.0,17.0,6.0,33.0,22.0,63.0,28.0,46.0,14.0,36.0,12.0,42.0,20.0,66.0
3875,0.0,1.0,3.0,12.0,6.0,27.0,7.0,34.0,2.0,87.0,14.0,21.0,59.0,22.0,38.0,66.0,100.0,56.0,4.0,41.0,26.0,13.0,44.0,5.0,61.0,37.0,53.0,17.0,39.0,145.0
3924,2.0,5.0,6.0,7.0,14.0,4.0,29.0,48.0,33.0,1.0,3.0,34.0,0.0,16.0,22.0,12.0,32.0,28.0,19.0,8.0,10.0,17.0,20.0,50.0,85.0,13.0,26.0,89.0,68.0,54.0
3973,4.0,0.0,1.0,9.0,26.0,22.0,7.0,25.0,34.0,6.0,2.0,59.0,18.0,44.0,64.0,3.0,14.0,45.0,106.0,11.0,5.0,54.0,43.0,52.0,16.0,77.0,70.0,56.0,10.0,47.0
4022,0.0,2.0,3.0,12.0,22.0,19.0,69.0,7.0,4.0,25.0,13.0,36.0,16.0,110.0,59.0,1.0,29.0,72.0,8.0,39.0,54.0,32.0,5.0,14.0,6.0,41.0,31.0,76.0,21.0,131.0
4071,0.0,1.0,15.0,7.0,4.0,19.0,9.0,2.0,40.0,17.0,33.0,62.0,21.0,24.0,22.0,11.0,28.0,5.0,103.0,74.0,13.0,29.0,10.0,36.0,16.0,42.0,14.0,69.0,63.0,102.0
4120,7.0,2.0,20.0,4.0,1.0,38.0,24.0,10.0,5.0,6.0,25.0,34.0,50.0,69.0,43.0,0.0,3.0,12.0,33.0,37.0,22.0,14.0,46.0,13.0,18.0,40.0,27.0,82.0,41.0,100.0
4169,0.0,1.0,3.0,4.0,2.0,6.0,14.0,13.0,46.0,12.0,11.0,42.0,5.0,43.0,20.0,7.0,18.0,21.0,8.0,45.0,100.0,16.0,22.0,61.0,44.0,117.0,17.0,30.0,23.0,41.0
4218,1.0,0.0,4.0,2.0,8.0,3.0,5.0,14.0,35.0,11.0,6.0,36.0,9.0,19.0,43.0,12.0,21.0,33.0,28.0,17.0,49.0,20.0,27.0,18.0,70.0,74.0,47.0,52.0,22.0,26.0
4267,0.0,1.0,6.0,4.0,7.0,29.0,16.0,15.0,37.0,8.0,5.0,21.0,13.0,41.0,12.0,2.0,9.0,11.0,27.0,25.0,38.0,52.0,10.0,26.0,22.0,84.0,19.0,44.0,47.0,30.0
4316,30.0,0.0,3.0,1.0,11.0,49.0,15.0,6.0,5.0,17.0,4.0,12.0,7.0,32.0,21.0,2.0,8.0,47.0,60.0,33.0,88.0,22.0,28.0,34.0,31.0,19.0,29.0,23.0,42.0,62.0
4365,3.0,0.0,5.0,12.0,2.0,48.0,65.0,18.0,16.0,10.0,6.0,4.0,14.0,69.0,24.0,1.0,47.0,7.0,99.0,52.0,106.0,17.0,26.0,13.0,36.0,60.0,38.0,19.0,8.0,139.0
4414,0.0,1.0,5.0,7.0,23.0,3.0,21.0,4.0,2.0,16.0,15.0,109.0,17.0,35.0,12.0,13.0,22.0,6.0,14.0,47.0,122.0,49.0,45.0,57.0,25.0,53.0,29.0,67.0,117.0,37.0
4463,0.0,3.0,1.0,21.0,5.0,65.0,25.0,4.0,2.0,131.0,11.0,24.0,59.0,8.0,22.0,12.0,14.0,16.0,9.0,43.0,84.0,15.0,50.0,13.0,152.0,40.0,18.0,64.0,10.0,28.0
4512,0.0,3.0,1.0,19.0,6.0,4.0,14.0,9.0,43.0,10.0,94.0,16.0,5.0,20.0,12.0,35.0,2.0,17.0,23.0,40.0,27.0,18.0,8.0,25.0,33.0,103.0,54.0,93.0,102.0,11.0
4561,0.0,2.0,1.0,10.0,15.0,9.0,14.0,6.0,16.0,54.0,5.0,17.0,11.0,27.0,29.0,24.0,28.0,37.0,57.0,38.0,158.0,63.0,18.0,35.0,12.0,132.0,56.0,141.0,19.0,64.0
4610,0.0,1.0,2.0,3.0,16.0,8.0,35.0,17.0,15.0,44.0,11.0,24.0,9.0,4.0,5.0,58.0,6.0,12.0,64.0,14.0,70.0,25.0,20.0,36.0,59.0,28.0,26.0,162.0,39.0,23.0
4659,0.0,4.0,2.0,31.0,1.0,44.0,63.0,5.0,10.0,80.0,6.0,30.0,3.0,8.0,20.0,18.0,9.0,12.0,13.0,21.0,14.0,27.0,35.0,17.0,11.0,32.0,62.0,34.0,36.0,7.0
4708,0.0,3.0,1.0,5.0,6.0,18.0,32.0,4.0,27.0,64.0,38.0,16.0,10.0,19.0,9.0,89.0,25.0,26.0,42.0,45.0,133.0,17.0,20.0,39.0,14.0,41.0,93.0,15.0,94.0,8.0
4757,0.0,4.0,1.0,19.0,3.0,2.0,5.0,27.0,54.0,36.0,9.0,20.0,24.0,8.0,14.0,7.0,10.0,13.0,97.0,99.0,66.0,112.0,12.0,35.0,23.0,25.0,11.0,59.0,75.0,22.0
4806,0.0,1.0,6.0,8.0,2.0,9.0,23.0,14.0,34.0,111.0,30.0,55.0,66.0,27.0,5.0,10.0,89.0,4.0,64.0,36.0,69.0,18.0,44.0,32.0,11.0,3.0,16.0,100.0,19.0,87.0
4855,0.0,1.0,2.0,11.0,10.0,12.0,9.0,26.0,7.0,19.0,15.0,120.0,84.0,57.0,3.0,47.0,33.0,36.0,34.0,59.0,147.0,5.0,76.0,31.0,6.0,23.0,35.0,112.0,14.0,28.0
