,MIR133A2_AMP,SLC17A9_AMP,DIDO1_AMP,EP300_MUT,C20orf151_AMP,NTSR1_AMP,TSSC1_DEL,MIR941-3_AMP,LOC100127888_AMP,POLD3_AMP,FAM65C_AMP,LOC63930_AMP,PMEPA1_AMP,C20orf195_AMP,COL9A3_AMP,GID8_AMP,TMEM123_AMP,FAM92A1P2_DEL,KRAS.G12_13_MUT,PSPC1_DEL,LOC100506384_AMP,FAM74A1_AMP,RNF169_AMP,HAR1B_AMP,HAR1A_AMP,CHRDL2_AMP,CEBPB_AMP,LINC00421_DEL,DLG2_AMP,SLCO4A1_AMP
2821,58.0,10.0,7.0,16555.0,17.0,392.0,8525.0,143.0,2.0,61.0,17342.0,145.0,22489.0,23057.0,1306.0,0.0,127.0,4.0,24134.0,111.0,15774.0,15403.0,158.0,128.0,52.0,63.0,1.0,543.0,184.0,191.0
2870,8.0,4.0,0.0,614.0,16.0,24.0,837.0,20208.0,3.0,16692.0,179.0,46.0,14835.0,97.0,187.0,68.0,16976.0,4763.0,106.0,183.0,15837.0,13767.0,1.0,23768.0,141.0,210.0,14.0,19685.0,2455.0,17592.0
2919,14459.0,704.0,3.0,118.0,2.0,109.0,8496.0,16817.0,1.0,18057.0,495.0,21710.0,403.0,23052.0,18210.0,127.0,18352.0,62.0,24134.0,10595.0,2043.0,15357.0,43.0,63.0,388.0,13884.0,276.0,19065.0,17474.0,31.0
2968,14488.0,114.0,210.0,608.0,17370.0,447.0,791.0,16845.0,16843.0,283.0,17375.0,21943.0,40.0,22931.0,17317.0,22039.0,138.0,229.0,24134.0,10632.0,147.0,15470.0,9.0,23.0,22962.0,3.0,18131.0,18590.0,17.0,12853.0
3017,15413.0,291.0,16.0,49.0,123.0,14846.0,8429.0,16814.0,661.0,18077.0,17337.0,21939.0,138.0,22929.0,18255.0,11.0,164.0,284.0,62.0,597.0,216.0,1409.0,2022.0,1.0,4.0,13915.0,17972.0,18602.0,776.0,12891.0
3066,6.0,21940.0,849.0,289.0,487.0,400.0,8457.0,56.0,16820.0,0.0,87.0,226.0,173.0,22939.0,299.0,177.0,150.0,820.0,938.0,130.0,19.0,99.0,57.0,22959.0,32.0,29.0,907.0,97.0,830.0,12845.0
3115,364.0,220.0,56.0,5.0,17378.0,2310.0,8456.0,130.0,1251.0,17978.0,965.0,1361.0,22450.0,453.0,18278.0,22200.0,2.0,3741.0,1440.0,10728.0,208.0,75.0,14211.0,39.0,23917.0,7.0,1377.0,202.0,17526.0,13172.0
3164,1685.0,1007.0,65.0,2.0,17366.0,144.0,8563.0,13.0,56.0,500.0,72.0,21966.0,22538.0,20.0,17310.0,22051.0,143.0,4417.0,0.0,51.0,237.0,15.0,13973.0,68.0,4.0,215.0,18096.0,18639.0,2395.0,12861.0
3213,1186.0,6.0,149.0,2.0,626.0,14766.0,232.0,4.0,16828.0,1658.0,115.0,21960.0,323.0,15.0,355.0,1452.0,147.0,214.0,73.0,12579.0,16231.0,15409.0,112.0,22952.0,1.0,113.0,18109.0,107.0,1402.0,12835.0
3262,12.0,183.0,76.0,54.0,269.0,36.0,1401.0,15.0,283.0,17.0,16836.0,22318.0,157.0,121.0,276.0,163.0,18381.0,703.0,155.0,63.0,19201.0,13.0,446.0,106.0,3.0,7.0,14983.0,19539.0,2445.0,18406.0
3311,264.0,252.0,9.0,170.0,60.0,84.0,92.0,20.0,254.0,32.0,1208.0,68.0,22507.0,22930.0,138.0,22050.0,18393.0,1172.0,2405.0,10626.0,22.0,1.0,3.0,955.0,14.0,66.0,18.0,18573.0,272.0,12839.0
3360,14445.0,21930.0,1.0,58.0,122.0,44.0,928.0,79.0,24.0,0.0,17320.0,42.0,22499.0,66.0,146.0,22016.0,501.0,217.0,530.0,727.0,15732.0,77.0,225.0,6.0,153.0,13880.0,17970.0,18994.0,1087.0,12813.0
3409,14405.0,21733.0,10.0,29.0,17109.0,61.0,5.0,16810.0,21.0,19.0,17114.0,74.0,22480.0,105.0,1190.0,22109.0,167.0,1040.0,37.0,493.0,566.0,20.0,6.0,45.0,437.0,122.0,18032.0,19038.0,17552.0,12948.0
3458,4.0,33.0,17900.0,10.0,2.0,14798.0,50.0,3.0,15889.0,17858.0,17117.0,21718.0,5.0,16.0,996.0,22153.0,13.0,223.0,24134.0,10653.0,113.0,812.0,274.0,1504.0,22969.0,14048.0,48.0,24.0,119.0,12974.0
3507,2.0,156.0,103.0,46.0,706.0,14749.0,79.0,29.0,440.0,18054.0,17352.0,45.0,58.0,246.0,17403.0,22034.0,420.0,320.0,4.0,52.0,15988.0,15379.0,138.0,97.0,22900.0,115.0,35.0,19051.0,17430.0,2001.0
3556,0.0,45.0,212.0,185.0,4.0,8.0,500.0,17.0,459.0,16702.0,59.0,25.0,38.0,63.0,16162.0,14834.0,16977.0,4794.0,139.0,10701.0,1.0,195.0,17534.0,39.0,23660.0,1821.0,16.0,51.0,1108.0,27.0
3605,5.0,148.0,217.0,0.0,92.0,14793.0,523.0,7.0,16806.0,281.0,9.0,50.0,57.0,27.0,59.0,22158.0,13.0,29.0,184.0,430.0,12.0,2197.0,13920.0,22915.0,494.0,14012.0,38.0,410.0,429.0,12808.0
3654,0.0,73.0,741.0,20.0,21.0,143.0,110.0,113.0,16813.0,169.0,6.0,21969.0,72.0,22935.0,1.0,22058.0,44.0,3253.0,331.0,10531.0,237.0,1304.0,460.0,1419.0,231.0,188.0,10.0,734.0,2503.0,12899.0
