,DYNC2H1_AMP,TRIM49_DEL,BIRC3_AMP,KRAS.G12_13_MUT,YAP1_AMP,EYA1_DEL,TMEM123_AMP,ETS1_DEL,CRTAM_DEL,MMP13_AMP,OR2T35_AMP,OR8B2_DEL,MIR4697_DEL,BCAS3_DEL,UQCC_AMP,DENND4C_DEL,LOC283174_DEL,BARX2_DEL,LOC341056_DEL,HLA-DRB6_AMP,C11orf70_AMP,MMP27_AMP,NOMO3_AMP,HEPACAM_DEL,CHN2_DEL,NCOA1_MUT,BOD1L2_DEL,PRH1-PRR4_AMP,LMAN1_DEL,CCBE1_DEL
2874,6.0,8.0,18400.0,62.0,6950.0,0.0,770.0,26.0,43.0,72.0,59.0,8081.0,19739.0,41.0,39.0,117.0,51.0,97.0,20.0,37.0,21944.0,392.0,2048.0,47.0,1646.0,3.0,416.0,236.0,513.0,2103.0
2923,23896.0,156.0,13463.0,24134.0,18148.0,83.0,97.0,165.0,58.0,190.0,30.0,90.0,307.0,271.0,22113.0,96.0,71.0,17.0,16.0,55.0,507.0,635.0,3.0,366.0,146.0,262.0,1.0,264.0,4309.0,123.0
2972,386.0,1.0,50.0,2231.0,65.0,63.0,49.0,532.0,9.0,120.0,0.0,87.0,18999.0,89.0,66.0,10.0,7170.0,67.0,31.0,69.0,518.0,98.0,3.0,196.0,41.0,2051.0,378.0,319.0,195.0,88.0
3021,1.0,18.0,23.0,51.0,424.0,30.0,5.0,244.0,54.0,9.0,0.0,33.0,62.0,102.0,119.0,24.0,63.0,320.0,77.0,40.0,259.0,106.0,238.0,28.0,12.0,16947.0,38.0,2355.0,578.0,97.0
3070,29.0,459.0,21.0,752.0,3.0,110.0,4.0,131.0,62.0,11.0,0.0,53.0,121.0,12806.0,435.0,54.0,100.0,5.0,198.0,3521.0,17.0,9.0,1.0,444.0,760.0,193.0,13.0,58.0,186.0,69.0
3119,52.0,443.0,4.0,955.0,255.0,3.0,80.0,169.0,62.0,20.0,2.0,64.0,59.0,32.0,22088.0,1.0,301.0,41.0,4980.0,194.0,1055.0,27.0,6.0,63.0,482.0,16955.0,31.0,72.0,44.0,54.0
3168,0.0,979.0,3.0,230.0,5.0,6.0,249.0,32.0,13.0,17.0,1.0,59.0,57.0,40.0,22076.0,54.0,58.0,204.0,12.0,2.0,51.0,86.0,8.0,22.0,257.0,1736.0,106.0,1422.0,83.0,926.0
3217,99.0,444.0,41.0,24134.0,461.0,11.0,352.0,2.0,33.0,383.0,0.0,37.0,18.0,54.0,1.0,93.0,17.0,16.0,178.0,20.0,404.0,95.0,25.0,34.0,8.0,108.0,45.0,94.0,55.0,5655.0
3266,10.0,18.0,12.0,1088.0,14.0,3.0,21.0,305.0,91.0,46.0,5.0,45.0,400.0,15.0,6.0,4.0,102.0,89.0,170.0,179.0,37.0,8.0,49.0,136.0,56.0,320.0,567.0,16002.0,207.0,115.0
3315,3.0,107.0,15.0,126.0,70.0,1.0,31.0,223.0,50.0,6.0,0.0,16.0,46.0,11816.0,4.0,7.0,45.0,17.0,47.0,21.0,99.0,71.0,362.0,49.0,42.0,164.0,439.0,32.0,4149.0,34.0
3364,9.0,0.0,25.0,32.0,4.0,11.0,8.0,58.0,72.0,22.0,5.0,77.0,237.0,20.0,50.0,2127.0,238.0,78.0,232.0,36.0,3.0,29.0,160.0,33.0,23.0,103.0,174.0,79.0,64.0,4403.0
3413,1.0,7.0,3.0,3118.0,15.0,13.0,6.0,268.0,10.0,14645.0,0.0,186.0,28.0,378.0,253.0,2407.0,29.0,191.0,81.0,3336.0,578.0,99.0,44.0,184.0,12.0,772.0,26.0,3191.0,107.0,556.0
3462,37.0,3.0,14.0,1.0,477.0,8.0,61.0,4.0,19.0,506.0,20.0,49.0,42.0,25.0,249.0,6.0,41.0,178.0,332.0,383.0,23136.0,846.0,3122.0,26.0,478.0,141.0,85.0,72.0,515.0,38.0
3511,379.0,2.0,7.0,17.0,405.0,137.0,59.0,70.0,3.0,14716.0,76.0,5.0,14.0,51.0,758.0,1.0,15.0,46.0,22.0,53.0,23162.0,23.0,9.0,10.0,107.0,191.0,558.0,124.0,425.0,0.0
3560,21865.0,165.0,106.0,0.0,14261.0,8.0,254.0,22.0,6.0,913.0,70.0,39.0,138.0,2.0,16126.0,233.0,23.0,1135.0,24.0,3594.0,567.0,985.0,214.0,174.0,83.0,73.0,111.0,26.0,4714.0,332.0
