,HER2_pY1248,Shc_pY317,B-Raf,C-Raf_pS338,PDK1_pS241,PEA15,Annexin 1,Smac,Akt,Rb,c-Myc,MDMX_MDM4(BetIHC-00108),MIG-6,Bap1 c-4,MYH11,PKC-pan_BetaII_pS660,RAD51,EGFR,VHL,Cyclin_E2,c-Jun_pS73,Notch1,B-Raf_pS445,Acetyl-a-Tubulin (Lys40),Src,EGFR_pY1068,14-3-3_beta,RSK1-2-3,p38_pT180_Y182,PRDX1
985,31.0,2.0,91.0,49.0,152.0,15.0,36.0,39.0,19.0,29.0,21.0,92.0,44.0,99.0,102.0,103.0,116.0,96.0,16.0,64.0,62.0,109.0,22.0,6.0,86.0,51.0,164.0,46.0,35.0,45.0
1034,38.0,33.0,24.0,67.0,146.0,27.0,29.0,93.0,53.0,156.0,140.0,115.0,74.0,16.0,130.0,72.0,6.0,96.0,68.0,26.0,91.0,82.0,86.0,31.0,62.0,19.0,83.0,41.0,58.0,71.0
1083,8.0,70.0,153.0,69.0,6.0,27.0,58.0,40.0,4.0,13.0,19.0,96.0,28.0,24.0,36.0,1.0,48.0,135.0,133.0,42.0,12.0,121.0,118.0,128.0,22.0,38.0,56.0,63.0,44.0,89.0
1132,10.0,1.0,17.0,43.0,40.0,18.0,33.0,57.0,48.0,59.0,46.0,13.0,3.0,15.0,11.0,31.0,70.0,72.0,38.0,60.0,49.0,54.0,62.0,2.0,91.0,22.0,0.0,81.0,82.0,37.0
1181,14.0,92.0,3.0,30.0,1.0,19.0,13.0,26.0,28.0,20.0,156.0,46.0,7.0,32.0,143.0,15.0,69.0,50.0,76.0,68.0,34.0,146.0,91.0,73.0,85.0,33.0,6.0,119.0,24.0,59.0
1230,13.0,130.0,2.0,33.0,6.0,37.0,34.0,43.0,8.0,91.0,29.0,92.0,22.0,58.0,7.0,53.0,94.0,88.0,87.0,76.0,56.0,54.0,78.0,73.0,31.0,25.0,32.0,41.0,65.0,55.0
1279,9.0,123.0,45.0,24.0,7.0,14.0,32.0,25.0,102.0,115.0,33.0,131.0,10.0,29.0,0.0,8.0,90.0,52.0,112.0,97.0,84.0,63.0,76.0,125.0,105.0,41.0,164.0,82.0,44.0,12.0
1328,24.0,0.0,131.0,35.0,4.0,30.0,12.0,80.0,36.0,29.0,65.0,20.0,10.0,6.0,61.0,13.0,117.0,96.0,51.0,101.0,39.0,82.0,130.0,64.0,85.0,22.0,27.0,112.0,69.0,28.0
1377,2.0,37.0,11.0,20.0,3.0,12.0,43.0,49.0,6.0,58.0,46.0,32.0,22.0,53.0,19.0,18.0,59.0,36.0,52.0,27.0,78.0,39.0,161.0,61.0,86.0,65.0,62.0,25.0,51.0,80.0
1426,11.0,32.0,16.0,35.0,2.0,8.0,34.0,41.0,12.0,45.0,100.0,37.0,42.0,17.0,54.0,61.0,115.0,86.0,20.0,56.0,125.0,43.0,67.0,79.0,47.0,143.0,120.0,94.0,73.0,50.0
1475,10.0,3.0,23.0,18.0,56.0,45.0,20.0,11.0,78.0,43.0,72.0,0.0,59.0,151.0,103.0,117.0,2.0,83.0,67.0,65.0,50.0,35.0,39.0,21.0,36.0,13.0,44.0,77.0,61.0,99.0
1524,8.0,33.0,83.0,29.0,105.0,26.0,34.0,5.0,46.0,25.0,47.0,41.0,19.0,40.0,98.0,70.0,2.0,17.0,21.0,49.0,28.0,43.0,48.0,73.0,129.0,30.0,24.0,39.0,22.0,111.0
1573,21.0,14.0,45.0,43.0,10.0,65.0,34.0,40.0,63.0,23.0,48.0,46.0,36.0,157.0,6.0,149.0,56.0,17.0,78.0,95.0,33.0,54.0,96.0,4.0,82.0,13.0,12.0,39.0,53.0,62.0
1622,13.0,17.0,113.0,28.0,127.0,5.0,15.0,23.0,45.0,10.0,14.0,37.0,24.0,60.0,81.0,36.0,54.0,19.0,88.0,77.0,22.0,1.0,99.0,34.0,58.0,162.0,55.0,21.0,44.0,25.0
